Node,"Local Authority","EV strategy","Fleet Engagement","Fleet Resources",Email,"Percentage Yes","Percentage No","Percentage in draft","Clear engagement","No evidence of engagement","Some/limited engagement","Clear contact and no support materials/process","Clear contact and support materials/process","No clear contact and no support materials/process","No clear contact and support materials/process"
Birkenhead,Wirral,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",damian.garner@wirral.gov.uk,37,31,32,3,40,57,17,21,33,29
"Glasgow North West","Glasgow City",Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",EVCharging@glasgow.gov.uk,37,31,32,3,40,57,17,21,33,29
Makerfield,Wigan,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",j.middlehurst@wigan.gov.uk,37,31,32,3,40,57,17,21,33,29
Basingstoke,Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Kenilworth and Southam",Warwickshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",tpu@warwickshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Moray,Moray,"In draft","No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",colin.matheson@moray.gov.uk,37,31,32,3,40,57,17,21,33,29
"East Yorkshire","East Riding of Yorkshire",Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Banbury,Oxfordshire,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",evteam@oxfordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Chichester,"West Sussex",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",EVchargepoints@westsussex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Chesham and Amersham",Buckinghamshire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",evcharging@buckinghamshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"North East Cambridgeshire",Cambridgeshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Hackney South and Shoreditch",Hackney,Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Foyle,"Derry City and Strabane",No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",anne.artt@derrystrabane.com,37,31,32,3,40,57,17,21,33,29
"North East Hampshire",Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Manchester Central",Manchester,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Colne Valley",Kirklees,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",Electric.Vehicles@kirklees.gov.uk,37,31,32,3,40,57,17,21,33,29
Walthamstow,"Waltham Forest",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",Electricvehicles@walthamforest.gov.uk,37,31,32,3,40,57,17,21,33,29
"Dumfriesshire, Clydesdale and Tweeddale","Dumfries and Galloway","In draft","No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",gordon.bryce@dumgal.gov.uk,37,31,32,3,40,57,17,21,33,29
"Sittingbourne and Sheppey",Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"Glasgow North","Glasgow City",Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",EVCharging@glasgow.gov.uk,37,31,32,3,40,57,17,21,33,29
"Edinburgh North and Leith","City of Edinburgh",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricvehicles@edinburgh.gov.uk,37,31,32,3,40,57,17,21,33,29
"Rutland and Melton",Leicestershire,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Peterborough,Peterborough,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Beaconsfield,Buckinghamshire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",evcharging@buckinghamshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Newcastle upon Tyne North","Newcastle upon Tyne",Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Cambridgeshire",Cambridgeshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Wolverhampton North East",Wolverhampton,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",kester.sleeman@blackcountrytransport.org.uk,37,31,32,3,40,57,17,21,33,29
"South West Bedfordshire","Central Bedfordshire",Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Houghton and Sunderland South",Sunderland,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",craig.mordue@sunderland.gov.uk,37,31,32,3,40,57,17,21,33,29
"Mid Sussex","West Sussex",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",EVchargepoints@westsussex.gov.uk,37,31,32,3,40,57,17,21,33,29
"West Dorset",Dorset,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricvehicles@dorsetcouncil.gov.uk,37,31,32,3,40,57,17,21,33,29
Gedling,Nottinghamshire,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bristol East","Bristol City of",No,"Substantial evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Birmingham, Perry Barr",Birmingham,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",sylvia.broadley@birmingham.gov.uk,37,31,32,3,40,57,17,21,33,29
Torfaen,Torfaen,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Na h-Eileanan an Iar","Na h-Eileanan Siar","In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bexhill and Battle","East Sussex",No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Cities of London and Westminster",Westminster,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Walsall South",Walsall,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Worcester,Worcestershire,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Merthyr Tydfil and Rhymney",Caerphilly,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"North West Hampshire",Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Milton Keynes North","Milton Keynes","In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Redditch,Worcestershire,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Wansbeck,Northumberland,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Birmingham, Yardley",Birmingham,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",sylvia.broadley@birmingham.gov.uk,37,31,32,3,40,57,17,21,33,29
"Altrincham and Sale West",Trafford,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Uxbridge and South Ruislip",Hillingdon,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Blyth Valley",Northumberland,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Heywood and Middleton",Rochdale,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",chris.woods@rochdale.gov.uk,37,31,32,3,40,57,17,21,33,29
Ceredigion,Ceredigion,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Edinburgh South","City of Edinburgh",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricvehicles@edinburgh.gov.uk,37,31,32,3,40,57,17,21,33,29
"Brighton, Kemptown","Brighton and Hove",No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Electric.Vehicles@brighton-hove.gov.uk,37,31,32,3,40,57,17,21,33,29
Harlow,Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Cardiff West",Cardiff,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Greenwich and Woolwich",Greenwich,Yes,"Basic evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Preston,Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Huntingdon,Cambridgeshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Rossendale and Darwen",Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Sunderland Central",Sunderland,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",craig.mordue@sunderland.gov.uk,37,31,32,3,40,57,17,21,33,29
"East Londonderry","Derry City and Strabane",No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",anne.artt@derrystrabane.com,37,31,32,3,40,57,17,21,33,29
"Tunbridge Wells",Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"Staffordshire Moorlands",Staffordshire,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",marc.stanway@staffordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Islwyn,Caerphilly,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Ashford,Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"Epsom and Ewell",Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
Kingswood,"South Gloucestershire","In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",Christina.Wilson@southglos.gov.uk,37,31,32,3,40,57,17,21,33,29
"South Ribble",Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Hexham,Northumberland,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Birmingham, Northfield",Birmingham,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",sylvia.broadley@birmingham.gov.uk,37,31,32,3,40,57,17,21,33,29
"West Ham",Newham,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricchargers@newham.gov.uk,37,31,32,3,40,57,17,21,33,29
"Leeds West",Leeds,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Rushcliffe,Nottinghamshire,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Harborough,Leicestershire,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Canterbury,Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"Caithness, Sutherland and Easter Ross",Highland,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Cheadle,Stockport,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Normanton, Pontefract and Castleford",Wakefield,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Brentford and Isleworth",Hounslow,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",Alexandra.crush@hounslow.gov.uk,37,31,32,3,40,57,17,21,33,29
Waveney,Suffolk,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",creatinggreenestcounty@suffolk.gov.uk,37,31,32,3,40,57,17,21,33,29
"Rayleigh and Wickford",Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Liverpool, Riverside",Liverpool,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",Stephen.rimmer@liverpool.gov.uk,37,31,32,3,40,57,17,21,33,29
"Brent North",Brent,"In draft","Basic evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Huddersfield,Bradford,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",eccu@bradford.gov.uk,37,31,32,3,40,57,17,21,33,29
Chesterfield,Derbyshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Daniel.McCrory@derbyshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"St Austell and Newquay",Cornwall,"In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",driveev2@cornwall.gov.uk,37,31,32,3,40,57,17,21,33,29
"East Worthing and Shoreham","West Sussex",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",EVchargepoints@westsussex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Manchester, Withington",Manchester,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Loughborough,Leicestershire,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Clwyd West",Conwy,No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Newport East",Monmouthshire,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Stoke-on-Trent South",Stoke-on-Trent,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Ashton-under-Lyne,Tameside,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Chatham and Aylesford",Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"Kingston and Surbiton","Kingston upon Thames",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",jayne.dando@kingston.gov.uk,37,31,32,3,40,57,17,21,33,29
"Swansea West",Swansea,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",ZeroEmissionTransport@swansea.gov.uk,37,31,32,3,40,57,17,21,33,29
"North Dorset",Dorset,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricvehicles@dorsetcouncil.gov.uk,37,31,32,3,40,57,17,21,33,29
"Dagenham and Rainham","Barking and Dagenham",Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Brent Central",Brent,"In draft","Basic evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Denton and Reddish",Tameside,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Hendon,Barnet,"In draft","No evidence of engagement or consideration of fleet","Clear contact and support materials/process",EVCharging@barnet.gov.uk,37,31,32,3,40,57,17,21,33,29
"Newcastle upon Tyne Central","Newcastle upon Tyne",Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Stevenage,Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Torridge and West Devon",Devon,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Thanet",Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"North Thanet",Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
Chippenham,Wiltshire,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact but no support materials/process",adam.stephens@wiltshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Blaenau Gwent","Blaenau Gwent",No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Havant,Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Hazel Grove",Stockport,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Portsmouth South",Portsmouth,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Damon.Leung@portsmouthcc.gov.uk,37,31,32,3,40,57,17,21,33,29
Yeovil,Somerset,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",climateemergency@somerset.gov.uk,37,31,32,3,40,57,17,21,33,29
Rochdale,Rochdale,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",chris.woods@rochdale.gov.uk,37,31,32,3,40,57,17,21,33,29
"Warrington North",Warrington,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Folkestone and Hythe",Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"Maidstone and The Weald",Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"Thirsk and Malton","North Yorkshire","In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",ltp@northyorks.gov.uk,37,31,32,3,40,57,17,21,33,29
Aylesbury,Buckinghamshire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",evcharging@buckinghamshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Aldershot,Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Welwyn Hatfield",Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Ochil and South Perthshire","Perth and Kinross",Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bradford East",Bradford,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",eccu@bradford.gov.uk,37,31,32,3,40,57,17,21,33,29
"Bradford South",Bradford,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",eccu@bradford.gov.uk,37,31,32,3,40,57,17,21,33,29
"Filton and Bradley Stoke","South Gloucestershire","In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",Christina.Wilson@southglos.gov.uk,37,31,32,3,40,57,17,21,33,29
"Hitchin and Harpenden",Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Basildon and Billericay",Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Surrey Heath",Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
Wallasey,Wirral,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",damian.garner@wirral.gov.uk,37,31,32,3,40,57,17,21,33,29
"City of Durham","County Durham",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",tracy.millmore@durham.gov.uk,37,31,32,3,40,57,17,21,33,29
"Holborn and St Pancras",Camden,Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Coventry South",Coventry,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",shamala.evans-gadgil@coventry.gov.uk,37,31,32,3,40,57,17,21,33,29
"Barrow and Furness",Cumbria,No,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Mitcham and Morden",Merton,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Tonbridge and Malling",Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"York Central",York,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact but no support materials/process",andrew.leadbetter@york.gov.uk,37,31,32,3,40,57,17,21,33,29
"North West Norfolk",Norfolk,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Nottingham East",Nottingham,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bournemouth West","Bournemouth Christchurch and Poole",No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process","john.mcvey@bcpcouncil.gov.uk and Francesca.powell@bcpcouncil.gov.uk",37,31,32,3,40,57,17,21,33,29
Bracknell,"Bracknell Forest",Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Halifax,Calderdale,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Isle of Wight","Isle of Wight","In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Aldridge-Brownhills,Walsall,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Vale of Glamorgan","Vale of Glamorgan",No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Blackburn,"Blackburn with Darwen","In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Mid Worcestershire",Worcestershire,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Saffron Walden",Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
Stafford,Staffordshire,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",marc.stanway@staffordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Bury South",Bury,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",J.rossistephenson@bury.gov.uk,37,31,32,3,40,57,17,21,33,29
