Node,"Number Of Schools","L1 And L2 (Number Of Places Delivered 2020/21)","L3 (Number Of Places Delivered 2020/21 )","Plus (Number Of Places Delivered 2020/21)","Average L1 And L2 Places Per School"
LU1,26,84,0,0,3.2
LU2,3.4,22,75,0,0
LU3,23,108,0,116,4.7
LU4,3.5,22,77,0,0
LU5,27,84,0,0,3.1
LU6,4.6,20,92,0,0
LU7,34,586,35,90,17.2
M2,0,1,,,
M3,3,,,,0
M4,0,5,0,0,0
M5,6,,,,0
M6,0,12,,,
M7,34,,,,0
M8,3.4,18,62,0,186
M9,25,65,0,37,2.6
M11,2.2,20,44,0,0
M12,15,52,0,0,3.5
M13,4.8,12,58,0,0
M14,19,75,0,0,3.9
M15,35.6,8,285,0,0
M16,19,166,0,55,8.7
M18,0,10,,,
M19,13,27,0,0,2.1
M20,3.9,23,89,0,0
M21,16,63,0,0,3.9
M22,0,17,0,0,0
M23,17,81,0,30,4.8
M24,2,24,48,30,0
M25,16,0,0,0,0
M26,6.8,16,108,0,0
M27,20,34,0,0,1.7
M28,2.6,21,54,0,118
M29,12,60,0,0,5
M30,4.5,25,112,0,0
M31,5,,,,0
M32,4,14,56,0,0
M33,25,22,0,0,0.9
M34,9.2,25,229,0,0
M35,13,150,0,64,11.5
M38,0,8,0,0,0
M40,23,61,0,0,2.7
M41,0,20,,,
M43,9,,,,0
M44,6.4,10,64,0,0
M45,10,73,0,45,7.3
M46,2.3,12,28,0,0
M50,2,,,,0
ME1,1.6,19,31,0,0
ME2,22,49,0,0,2.2
ME3,2,18,36,0,60
ME4,17,16,0,0,0.9
ME5,2.7,24,64,0,0
ME6,4,50,0,0,12.5
ME7,1,20,20,0,0
ME8,23,82,0,0,3.6
ME9,10.4,16,166,0,0
ME10,19,44,0,186,2.3
ME11,0,1,,,
ME12,9,,,,0
ME13,11.5,20,229,0,0
ME14,15,149,0,88,9.9
ME15,0,18,0,0,0
ME16,16,15,0,0,0.9
ME17,4.7,18,84,0,0
ME18,4,24,0,0,6
ME19,0,12,,,
ME20,10,58,0,0,5.8
MK2,3,8,24,0,0
MK3,15,37,0,0,2.5
MK4,0,4,,,
MK5,8,30,0,2,3.8
MK6,0,16,0,0,0
MK7,6,,,,0
MK8,4.3,9,39,0,0
MK9,1,,,,0
MK10,19.5,8,156,0,3
MK11,3,,,,0
MK12,0,6,,,
MK13,6,,,,0
MK14,0,12,0,0,0
MK15,1,,,,0
MK16,6.7,9,60,0,4
MK17,18,92,25,10,5.1
MK18,1.6,26,41,0,0
MK19,11,0,0,0,0
MK40,7.2,16,115,0,0
MK41,25,65,0,0,2.6
MK42,2.7,34,91,0,0
MK43,26,61,0,5,2.3
MK44,7.4,22,162,0,15
MK45,33,169,0,35,5.1
MK46,0,2,,,
N1,38,,,,0
N1C,0,3,,,
N2,8,,,,0
N3,0,11,,,
N4,13,,,,0
N5,0,9,,,
N6,8,,,,0
N7,0,14,,,
N8,16,,,,0
N9,0,18,,,
N10,13,,,,0
N11,0,14,,,
N12,13,,,,0
N13,0,7,,,
N14,17,,,,0
N15,0,18,,,
N16,42,,,,0
N17,0,27,,,
N18,7,,,,0
N19,0,10,,,
N20,10,,,,0
N21,0,9,,,
N22,17,,,,0
NE1,0,1,,,
NE2,10,0,0,0,0
NE3,2.1,35,73,0,30
NE4,22,0,0,0,0
NE5,0.3,20,6,0,0
NE6,22,0,0,40,0
NE7,0,5,0,0,0
NE8,20,82,0,0,4.1
NE9,11.2,22,246,0,0
NE10,26,126,0,0,4.8
NE11,0,6,,,
NE12,17,124,0,0,7.3
NE13,0,8,0,0,0
NE15,23,0,0,20,0
NE16,11.6,14,162,0,0
NE17,1,,,,0
NE18,0,2,0,0,0
NE19,1,,,,0
NE20,0,5,,,
NE21,6,0,0,0,0
NE22,0,9,0,0,0
NE23,16,0,0,0,0
NE24,0,11,0,0,0
NE25,15,134,0,0,8.9
NE26,0,6,0,0,0
NE27,5,19,0,0,3.8
NE28,7.6,22,167,0,0
NE29,20,129,0,0,6.5
NE30,7.1,11,78,0,0
NE31,12,101,0,0,8.4
NE32,10.5,18,189,0,0
NE33,10,131,0,0,13.1
NE34,14.2,20,284,0,0
NE35,4,29,0,0,7.3
NE36,11,5,55,0,0
NE37,8,0,0,0,0
NE38,1.1,21,23,0,5
NE39,5,34,0,0,6.8
NE40,7.5,8,60,0,0
NE41,1,,,,0
NE42,6.2,9,56,0,0
NE43,2,,,,0
NE44,0,1,,,
NE45,1,,,,0
NE46,2.8,11,31,7,0
NE47,8,,,,0
NE48,0,5,,,
NE49,2,17,0,0,8.5
NE61,0,20,0,0,101
NE62,8,82,0,0,10.3
NE63,2.1,11,23,0,0
NE65,12,,,,0
NE66,0,10,,,
NE67,1,,,,0
NE70,0,1,,,
NE71,3,0,0,0,0
NG1,0,4,0,0,0
NG2,21,168,0,0,8
NG3,3.5,22,78,0,9
NG4,24,216,0,24,9
NG5,4,46,183,0,24
NG6,18,0,0,30,0
NG7,0,21,0,0,0
NG8,31,0,0,0,0
NG9,9.2,26,240,0,12
NG10,17,219,33,0,12.9
NG11,3.3,18,60,0,12
NG12,21,123,12,0,5.9
NG13,9.4,14,132,0,0
NG14,12,108,0,48,9
NG15,8,21,168,6,24
NG16,41,420,0,303,10.2
NG17,4.9,33,162,0,0
NG18,17,150,12,120,8.8
NG19,9,31,279,12,48
NG20,20,41,0,84,2.1
NG21,7.8,13,102,0,48
NG22,17,81,36,60,4.8
NG23,0,11,0,0,0
NG24,21,198,0,0,9.4
NG25,12,5,60,0,0
NG31,34,151,21,0,4.4
NG32,4,12,48,0,0
NG33,12,38,0,0,3.2
NG34,3.5,23,81,0,0
NN1,14,71,0,0,5.1
NN2,2,20,40,0,0
NN3,33,70,0,0,2.1
NN4,6.8,22,149,0,0
NN5,16,66,0,0,4.1
NN6,4,34,135,0,0
NN7,27,105,0,0,3.9
NN8,3.1,24,75,0,0
NN9,15,19,0,9,1.3
NN10,3.7,18,67,0,0
NN11,28,146,0,0,5.2
NN12,2.9,19,55,0,0
NN13,14,73,0,0,5.2
NN14,6.1,29,176,0,0
NN15,23,47,0,0,2
NN16,2.4,10,24,0,0
NN17,14,22,9,14,1.6
NN18,1.5,15,23,0,0
NN29,10,73,0,0,7.3
NP16,14,4,56,0,0
NP25,2,4,0,0,2
NR1,0.9,14,12,6,24
NR2,16,158,36,24,9.9
NR3,0,10,,,
NR4,13,121,0,48,9.3
NR5,5.6,17,96,0,10
NR6,14,48,0,30,3.4
NR7,0,13,0,0,0
NR8,12,72,48,90,6
NR9,6.5,17,111,14,0
NR10,12,24,0,0,2
NR11,0,10,0,0,0
NR12,13,28,0,0,2.2
NR13,2.2,11,24,0,0
NR14,16,107,0,0,6.7
NR15,0,13,0,0,0
NR16,9,0,0,0,0
NR17,0,9,0,0,0
NR18,9,0,0,0,0
NR19,6.9,14,96,0,25
NR20,9,60,0,0,6.7
NR21,0,8,,,
NR22,1,,,,0
NR23,0,2,,,
NR24,2,0,36,0,0
NR25,1.3,4,5,0,0
NR26,3,,,,0
NR27,0,8,,,
NR28,4,,,,0
NR29,2.2,11,24,0,36
NR30,9,11,0,0,1.2
NR31,0.4,22,9,0,0
NR32,18,9,0,0,0.5
NR33,0.6,16,10,0,0
NR34,20,78,0,0,3.9
NR35,0,10,0,0,0
NW1,23,,,,0
NW2,0,20,,,
NW3,38,,,,0
NW4,0,18,,,
NW5,14,,,,0
NW6,0,28,,,
NW7,18,,,,0
NW8,0,13,,,
NW9,23,,,,0
NW10,0,32,,,
NW11,15,,,,0
OL1,12.4,17,210,0,48
OL2,22,60,0,92,2.7
OL3,7.5,13,97,0,76
OL4,18,0,0,30,0
OL5,8.3,9,75,0,0
OL6,22,102,0,0,4.6
OL7,10.6,8,85,0,0
OL8,28,238,28,178,8.5
OL9,14.2,27,383,34,213
OL10,16,123,0,0,7.7
OL11,2.2,20,44,0,100
OL12,32,121,0,57,3.8
OL13,9.2,13,120,0,0
OL14,9,0,0,0,0
OL15,5.7,7,40,0,0
OL16,22,214,0,27,9.7
OX1,0,10,,,
OX2,16,,,,0
OX3,4.6,25,114,0,0
OX4,30,192,0,15,6.4
OX5,8.2,15,123,0,0
OX7,18,63,0,0,3.5
OX9,3,6,18,18,0
OX10,19,177,14,0,9.3
OX11,12.3,19,233,100,0
OX12,12,,,,0
OX13,2.7,10,27,0,0
OX14,22,7,0,0,0.3
OX15,4.1,14,57,0,0
OX16,21,30,0,0,1.4
OX17,5.9,17,100,0,0
OX18,15,59,32,0,3.9
OX20,6.8,6,41,9,0
OX25,3,,,,0
OX26,0.8,18,15,0,0
OX27,4,10,0,0,2.5
OX28,5.6,16,89,6,0
OX29,20,105,0,0,5.3
OX33,4,5,20,0,0
OX39,2,,,,0
OX44,0,3,,,
OX49,2,,,,0
PE1,0.8,27,22,0,0
PE2,28,171,0,0,6.1
PE3,1.9,18,34,0,0
PE4,9,29,0,0,3.2
PE5,11,2,22,0,0
PE6,22,219,0,0,10
PE7,3.4,22,74,13,0
PE8,17,62,0,0,3.6
PE9,2.4,19,46,0,0
PE10,13,119,36,0,9.2
PE11,3.2,30,97,0,7
PE12,26,74,0,40,2.8
PE13,1.4,22,31,0,0
PE14,18,42,0,0,2.3
PE15,12.6,11,139,0,0
PE16,4,0,0,0,0
PE19,7.1,31,219,0,0
PE20,5,,,,0
PE21,2,20,40,0,0
PE22,16,83,0,0,5.2
PE23,0,8,,,
PE24,5,55,0,0,11
PE25,8.8,12,106,0,0
PE26,9,90,0,0,10
PE27,9,8,72,0,0
PE28,28,150,0,0,5.4
PE29,5,15,75,0,0
PE30,16,0,0,0,0
PE31,1.3,7,9,0,0
PE32,15,81,22,0,5.4
PE33,2.3,8,18,0,0
PE34,11,32,0,0,2.9
PE36,0,3,,,
PE37,6,,,,0
PE38,1.3,9,12,0,0
PL1,18,258,0,135,14.3
PL2,8.7,13,113,0,109
PL3,10,162,0,103,16.2
PL4,4.9,11,54,117,77
PL5,29,374,29,173,12.9
PL6,16.3,22,359,0,189
PL7,15,128,5,202,8.5
PL8,8.4,7,59,0,0
PL9,18,306,0,177,17
PL10,0,3,0,0,12
PL11,8,31,0,18,3.9
PL12,12.4,15,186,0,36
PL13,6,113,0,57,18.8
PL14,10.5,23,241,16,145
PL15,22,178,0,162,8.1
PL16,0,1,,,
PL17,4,78,0,12,19.5
PL18,4.8,5,24,0,36
PL19,16,136,0,29,8.5
PL20,1.5,12,18,0,11
PL21,13,60,0,9,4.6
PL22,0,3,,,
PL23,3,,,,0
PL24,27.4,5,137,0,0
PL25,12,267,0,0,22.3
PL26,8.5,15,127,0,34
PL27,9,122,0,3,13.6
PL28,23,2,46,0,20
PL29,2,11,0,0,5.5
PL30,7,18,126,0,68
PL31,7,36,0,0,5.1
PL32,5,4,20,0,10
PL33,1,,,,0
PL34,4.5,2,9,0,10
PL35,2,10,0,0,5
PO1,0,13,0,0,0
PO2,17,69,0,0,4.1
PO3,24,3,72,0,0
PO4,13,102,0,0,7.8
PO5,5,8,40,0,0
PO6,8,0,0,0,0
PO7,4.9,25,122,0,0
PO8,16,139,0,0,8.7
PO9,1.7,23,39,0,0
PO10,11,59,0,0,5.4
PO11,5.1,7,36,0,0
PO12,13,200,0,0,15.4
PO13,8.3,15,124,0,0
PO14,20,140,65,0,7
PO15,6.6,7,46,0,0
PO16,10,252,0,0,25.2
PO17,6.8,4,27,0,0
PO18,9,35,0,0,3.9
PO19,4.1,16,66,0,0
PO20,14,14,0,0,1
PO21,9.5,11,105,0,0
PO22,8,90,0,0,11.3
PO30,0,16,,,
PO31,4,,,,0
PO32,0,2,,,
PO33,10,,,,0
PO34,0,1,,,
PO35,1,,,,0
PO36,0,4,,,
PO37,2,,,,0
PO38,0,6,,,
PO39,1,,,,0
PO40,0,1,,,
PO41,1,,,,0
PR1,0.9,50,43,0,15
PR2,43,196,0,30,4.6
PR3,3.9,40,157,30,54
PR4,53,186,0,30,3.5
PR5,3.6,36,129,0,56
PR6,28,335,0,140,12
PR7,11.1,39,434,12,134
PR8,16,28,0,0,1.8
PR9,5.5,17,94,0,0
PR25,26,29,0,98,1.1
PR26,8.1,12,97,0,16
RG1,19,0,0,3,0
RG2,1.2,26,30,0,0
RG4,21,179,111,10,8.5
RG5,0.7,15,11,5,0
RG6,10,101,0,0,10.1
RG7,3.2,27,87,12,0
RG8,10,50,0,0,5
RG9,1.7,10,17,0,0
RG10,18,201,24,0,11.2
RG12,1.1,18,20,0,0
RG14,21,0,0,0,0
RG17,9.1,10,91,0,0
RG18,9,0,0,0,0
RG19,0,7,0,0,0
RG20,24,96,0,0,4
RG21,8.3,21,174,0,0
RG22,19,132,0,0,6.9
RG23,0,8,0,0,0
RG24,16,161,0,0,10.1
RG25,4.1,8,33,0,0
RG26,13,101,0,0,7.8
RG27,3.9,14,54,0,0
RG28,1,,,,0
RG29,5.3,7,37,0,0
RG30,23,170,24,30,7.4
RG31,0,12,0,0,0
RG40,23,179,9,4,7.8
RG41,5.8,17,99,0,0
RG42,14,29,0,0,2.1
RG45,1.6,7,11,0,0
RH1,20,34,0,0,1.7
RH2,0,14,,,
RH3,1,0,0,0,0
RH4,16.7,9,150,0,0
RH5,10,,,,0
RH6,4.7,15,71,0,0
RH7,5,0,0,0,0
RH8,2.8,12,33,0,0
RH9,1,20,0,0,20
RH10,11,29,319,0,0
RH11,17,96,0,0,5.6
RH12,5.8,22,128,0,0
RH13,26,100,0,0,3.8
RH14,0,6,,,
RH15,13,235,0,0,18.1
RH16,0,11,,,
RH17,18,56,0,0,3.1
RH18,0,3,,,
RH19,14,20,0,0,1.4
RH20,2,9,18,0,0
RM1,13,,,,0
RM2,0,6,,,
RM3,14,,,,0
RM4,0,3,,,
RM5,3,,,,0
RM6,0,13,,,
RM7,7,,,,0
RM8,0,13,,,
RM9,14,,,,0
RM10,0,13,,,
RM11,11,,,,0
RM12,0,12,,,
RM13,11,,,,0
RM14,0,13,,,
RM15,10,51,0,0,5.1
RM16,9,16,144,0,43
RM17,8,92,0,3,11.5
RM18,1.2,6,7,0,34
RM19,2,0,0,0,0
RM20,0,1,0,0,0
S1,1,,,,0
S2,2.7,18,48,0,4
S3,6,,,,0
S4,0,6,,,
S5,18,,,,0
S6,3.1,14,44,0,0
S7,9,40,0,0,4.4
S8,5.6,17,95,0,10
S9,14,60,0,0,4.3
S10,12.1,17,206,0,0
S11,13,128,0,10,9.8
S12,0,9,,,
S13,11,94,0,12,8.5
S14,0,1,,,
S17,6,30,0,0,5
S18,20.8,17,354,0,121
S20,11,71,0,0,6.5
S21,0.2,13,3,0,0
S25,12,56,0,0,4.7
S26,0,14,,,
S32,4,19,0,0,4.8
S33,0,9,0,38,38
S35,21,147,0,8,7
S36,8,20,160,0,0
S40,19,373,7,86,19.6
S41,9.5,26,246,25,59
S42,15,150,2,7,10
S43,4.4,21,93,2,24
S44,15,115,1,3,7.7
S45,12.8,8,102,0,8
S60,17,,,,0
S61,0,15,,,
S62,13,20,0,0,1.5
S63,0,17,0,0,46
S64,13,,,,0
S65,0,21,0,0,0
S66,18,,,,0
S70,1.6,14,22,238,0
S71,18,65,0,0,3.6
S72,2.2,10,22,0,0
S73,11,88,0,0,8
S74,2.3,9,21,80,85
S75,17,75,0,53,4.4
S80,13.8,17,235,0,36
S81,17,222,0,66,13.1
SE1,0,26,,,
SE2,8,,,,0
SE3,0,18,,,
SE4,9,,,,0
SE5,0,18,,,
SE6,18,,,,0
SE7,0,9,,,
SE8,12,,,,0
SE9,0,29,,,
SE10,9,,,,0
SE11,0,14,,,
SE12,10,,,,0
SE13,0,8,,,
SE14,10,,,,0
SE15,0,28,,,
SE16,19,,,,0
SE17,0,12,,,
SE18,27,,,,0
SE19,0,12,,,
SE20,6,,,,0
SE21,0,11,,,
SE22,11,,,,0
SE23,0,14,,,
SE24,8,,,,0
SE25,0,13,,,
SE26,9,,,,0
SE27,0,6,,,
SE28,11,,,,0
SG1,0,23,0,0,0
SG2,25,14,0,0,0.6
SG3,0,3,,,
SG4,27,97,0,0,3.6
SG5,4.6,24,111,0,0
SG6,21,37,0,0,1.8
SG7,0,8,,,
SG8,29,118,0,0,4.1
SG9,0,9,0,0,0
SG10,2,,,,0
SG11,0,11,0,0,0
SG12,23,0,0,0,0
SG13,2.4,14,34,0,0
SG14,15,0,0,0,0
SG15,0,3,0,0,0
SG16,7,37,0,0,5.3
SG17,9.3,6,56,0,0
SG18,13,39,0,0,3
SG19,1.4,14,20,0,0
SK1,5,,,,0
SK2,2.6,11,29,0,0
SK3,18,33,0,0,1.8
SK4,6.6,22,146,0,0
SK5,14,30,0,0,2.1
SK6,5.4,22,118,0,0
SK7,17,132,0,0,7.8
SK8,1.4,35,48,60,0
SK9,22,262,65,1,11.9
SK10,12.6,26,327,46,46
SK11,20,115,0,0,5.8
SK12,11,10,110,0,0
SK13,26,84,0,0,3.2
SK14,3,25,74,0,0
SK15,18,144,0,0,8
SK16,5.9,13,77,0,0
SK17,30,48,4,89,1.6
SK22,5.1,15,76,0,0
SK23,12,23,0,29,1.9
SL0,4.6,5,23,0,0
SL1,31,36,0,0,1.2
SL2,0,24,0,0,0
SL3,21,,,,0
SL4,0.7,31,23,0,0
SL5,12,,,,0
SL6,6.2,43,268,0,0
SL7,14,24,0,0,1.7
SL8,6,4,24,0,0
SL9,13,96,0,0,7.4
SM1,0,11,,,
SM2,8,0,0,0,0
SM3,0,9,,,
SM4,12,,,,0
SM5,0,18,,,
SM6,15,,,,0
SM7,4.2,9,38,0,0
SN1,12,96,0,0,8
SN2,1.4,16,23,0,0
SN3,25,49,0,0,2
SN4,1.1,11,12,0,0
SN5,18,78,0,0,4.3
SN6,7.5,16,120,18,0
SN7,9,,,,0
SN8,7,24,169,0,0
SN9,7,18,0,0,2.6
SN10,4.7,23,107,0,0
SN11,12,0,0,0,0
SN12,3.9,11,43,0,0
SN13,9,18,0,0,2
SN14,4.7,17,80,18,0
SN15,22,73,0,0,3.3
SN16,5.7,14,80,0,0
SN25,23,141,0,0,6.1
SN26,0,1,,,
SO14,6,0,0,0,0
SO15,0,13,,,
SO16,29,84,0,48,2.9
SO17,7.2,5,36,0,0
SO18,11,0,0,0,0
SO19,2.1,17,36,0,89
SO20,4,0,0,39,0
SO21,5.5,17,94,0,0
SO22,15,190,0,0,12.7
SO23,4.1,10,41,0,0
SO24,8,33,0,0,4.1
SO30,6.9,14,96,12,0
SO31,14,90,0,0,6.4
SO32,3.4,14,47,0,0
SO40,23,143,0,0,6.2
SO41,7.8,20,155,0,0
SO42,3,28,0,0,9.3
SO43,0,4,,,
SO45,20,158,0,0,7.9
SO50,9.9,24,237,0,0
SO51,16,292,2,121,18.3
SO52,0,1,,,
SO53,20,153,0,0,7.7
SP1,1.8,26,46,0,0
SP2,14,53,0,0,3.8
SP3,0.8,10,8,0,0
SP4,21,54,0,0,2.6
SP5,3.8,16,61,0,0
SP6,14,93,0,0,6.6
SP7,0.4,10,4,11,0
SP8,5,,,,0
SP9,0,5,0,0,0
SP10,19,129,0,120,6.8
SP11,4.7,26,123,0,30
SR1,1,,,,0
SR2,0.4,22,8,0,2
SR3,19,15,0,3,0.8
SR4,0,18,0,0,0
SR5,23,74,0,23,3.2
SR6,0,12,0,0,0
SR7,11,0,0,0,0
SR8,5,26,129,0,0
SS0,14,0,0,0,0
SS1,26.6,7,186,0,0
SS2,11,0,0,149,0
SS3,2.7,9,24,0,0
SS4,12,48,0,0,4
SS5,6,4,24,0,0
SS6,7,24,0,0,3.4
SS7,6.6,20,132,36,18
SS8,11,42,0,0,3.8
SS9,14.5,24,348,0,0
SS11,7,42,0,0,6
SS12,1.2,12,14,0,0
SS13,8,0,0,0,0
SS14,0,15,0,0,0
SS15,11,24,0,0,2.2
SS16,1.6,14,23,27,0
SS17,14,153,0,0,10.9
ST1,6.3,16,101,0,120
ST2,17,209,0,6,12.3
ST3,12.2,26,318,0,0
ST4,27,357,269,338,13.2
ST5,12.2,53,647,82,86
ST6,30,364,0,60,12.1
ST7,13.1,36,473,0,120
ST8,12,118,27,34,9.8
ST9,13.1,10,131,0,0
ST10,26,374,0,0,14.4
ST11,8,12,96,55,55
ST12,3,25,0,0,8.3
ST13,0.9,19,17,24,24
ST14,20,314,48,98,15.7
ST15,37.8,16,604,0,98
ST16,15,29,0,100,1.9
ST17,30.5,33,1007,0,76
ST18,20,325,0,20,16.3
ST19,3.2,15,48,60,60
ST20,6,192,0,0,32
ST21,0,3,,,
SW1E,1,,,,0
SW1H,0,1,,,
SW1P,10,,,,0
SW1V,0,7,,,
SW1W,5,,,,0
SW1X,0,5,,,
SW2,16,,,,0
SW3,0,9,,,
SW4,17,,,,0
SW5,0,5,,,
SW6,25,,,,0
SW7,0,9,,,
SW8,9,,,,0
SW9,0,12,,,
SW10,6,,,,0
SW11,0,24,,,
SW12,16,,,,0
SW13,0,6,,,
SW14,6,,,,0
SW15,0,26,,,
SW16,16,,,,0
SW17,0,23,,,
SW18,18,,,,0
SW19,0,30,,,
SW20,14,,,,0
SY1,6.5,14,91,3,0
SY2,9,41,0,0,4.6
SY3,2.8,12,33,24,0
SY4,24,89,94,0,3.7
SY5,2.6,17,44,0,0
SY6,5,20,0,0,4
SY7,2.5,12,30,13,0
SY8,10,21,0,0,2.1
SY9,0,3,0,0,0
SY10,9,30,0,0,3.3
SY11,3.7,15,56,0,0
SY12,8,24,0,0,3
SY13,0,7,,,
SY14,4,,,,0
SY15,0,1,,,
TA1,21,124,0,0,5.9
TA2,0,3.1,22,69,0
TA3,16,117,0,0,7.3
TA4,0,11.6,18,208,0
TA5,9,30,0,0,3.3
TA6,0,4.9,28,138,0
TA7,14,65,0,0,4.6
TA8,0,2.4,5,12,0
TA9,8,,,,0
TA10,11,10,110,0,0
TA11,7,36,0,0,5.1
TA12,0,10.8,5,54,0
TA13,4,18,0,0,4.5
TA14,0,6,5,30,0
TA15,2,24,0,0,12
TA16,,0,1,,
TA17,1,,,,0
TA18,,0,8,,
TA19,7,31,0,0,4.4
TA20,0,3.9,13,51,0
TA21,19,88,0,0,4.6
TA22,0,6,3,18,0
TA23,2,,,,0
TA24,,0,9,,
TD15,15,,,,0
TF1,0,6.4,15,96,0
TF2,18,84,0,0,4.7
TF3,0,9,8,72,0
TF4,9,,,,0
TF5,,0,1,,
TF6,4,36,0,0,9
TF7,,0,8,,
TF8,1,,,,0
TF9,0,2.4,18,44,0
TF10,13,96,0,0,7.4
TF11,0,2.1,8,17,0
TF12,5,27,18,0,5.4
TF13,0,4.3,4,17,0
TN1,1,,,,0
TN2,0,6.4,10,64,0
TN3,10,28,0,0,2.8
TN4,0,6.5,18,117,20
TN5,8,0,0,30,0
TN6,0,4,11,44,0
TN7,2,0,0,0,0
TN8,0,3.7,6,22,0
TN9,11,49,11,0,4.5
TN10,,0,4,,
TN11,16,65,0,0,4.1
TN12,,0,9,,
TN13,17,77,0,0,4.5
TN14,0,4,10,40,0
TN15,14,13,0,0,0.9
TN16,0,4.8,9,43,0
TN17,15,53,0,0,3.5
TN18,,0,4,,
TN19,3,0,0,0,0
TN20,0,4.2,5,21,0
TN21,13,120,0,24,9.2
TN22,0,3.1,24,75,0
TN23,22,377,61,94,17.1
TN24,0,16.3,13,212,0
TN25,20,141,0,0,7.1
TN26,0,9.2,5,46,0
TN27,9,12,0,0,1.3
TN28,,0,3,,
TN29,4,11,0,0,2.8
TN30,,0,6,,
TN31,11,44,0,0,4
TN32,0,3.5,8,28,0
TN33,14,74,0,0,5.3
TN34,0,0,9,0,0
TN35,10,0,0,0,0
TN36,0,0,2,0,0
TN37,8,42,0,0,5.3
TN38,0,0.8,13,11,0
TN39,9,0,0,0,0
TN40,0,3,10,30,0
TQ1,11,101,4,0,9.2
TQ2,0,10,14,140,0
TQ3,9,116,8,12,12.9
TQ4,0,14,2,28,0
TQ5,10,63,0,0,6.3
TQ6,0,0,5,0,0
TQ7,9,0,0,0,0
TQ8,,0,1,,
TQ9,22,92,0,0,4.2
TQ10,,0,1,,
TQ11,3,0,0,0,0
TQ12,0,3.1,39,121,0
TQ13,15,39,0,0,2.6
TQ14,0,0,7,0,0
TR1,14,23,0,0,1.6
TR2,0,5.3,12,63,0
TR3,12,81,0,0,6.8
TR4,0,1.7,14,24,0
TR5,2,,,,0
TR6,,0,1,,
TR7,8,121,0,0,15.1
TR8,0,3.5,6,21,0
TR9,2,36,0,0,18
TR10,0,4.8,5,24,0
TR11,13,98,0,0,7.5
TR12,0,3,12,36,0
TR13,17,66,0,0,3.9
TR14,0,3.7,19,71,0
TR15,7,,,,0
TR16,0,2.4,10,24,0
TR17,1,,,,0
TR18,29,3.8,12,46,0
TR19,9,41,0,0,4.6
TR20,0,6.9,10,69,0
TR21,1,,,,0
TR26,0,5,4,20,0
TR27,9,81,0,0,9
TS1,,0,5,,
TS2,1,,,,0
TS3,,0,19,,
TS4,9,,,,0
TS5,2,0.2,13,2,0
TS6,17,89,0,32,5.2
TS7,2,0.2,12,2,0
TS8,9,41,0,0,4.6
TS9,,0,7,,
TS10,16,48,0,101,3
TS11,0,10.6,5,53,0
TS12,8,,,,0
TS13,,0,6,,
TS14,9,12,0,0,1.3
TS15,0,5,9,45,0
TS16,8,25,0,0,3.1
TS17,0,3.7,19,71,0
TS18,7,,,,0
TS19,,0,16,,
TS20,9,,,,0
TS21,0,0,6,0,0
TS22,4,,,,0
TS23,0,1.4,11,15,0
TS24,11,,,,0
TS25,,0,17,,
TS26,6,,,,0
TS27,0,0.8,8,6,0
TS28,3,,,,0
TS29,,0,3,,
TW1,10,,,,0
TW2,,0,17,,
TW3,10,,,,0
TW4,,0,8,,
TW5,10,,,,0
TW7,,0,15,,
TW8,7,,,,0
TW9,,0,10,,
TW10,12,,,,0
TW11,,0,7,,
TW12,11,,,,0
TW13,,0,15,,
TW14,8,,,,0
TW15,0,8.7,10,87,0
TW16,11,32,0,0,2.9
TW17,,0,5,,
TW18,9,0,0,0,0
TW19,,0,3,,
TW20,12,30,0,0,2.5
UB1,,0,16,,
UB2,14,,,,0
UB3,,0,15,,
UB4,16,,,,0
UB5,,0,12,,
UB6,15,,,,0
UB7,,0,12,,
UB8,15,,,,0
UB9,,0,5,,
UB10,16,,,,0
W1B,,0,3,,
W1D,1,,,,0
W1G,,0,1,,
W1H,6,,,,0
W1J,,0,1,,
W1K,1,,,,0
W1U,,0,3,,
W1W,1,,,,0
W2,,0,14,,
W3,21,,,,0
W4,,0,14,,
W5,17,,,,0
W6,,0,24,,
W7,11,,,,0
W8,,0,7,,
W9,12,,,,0
W10,,0,23,,
W11,12,,,,0
W12,,0,21,,
W13,10,,,,0
W14,,0,13,,
WA1,15,120,0,26,8
WA2,0,2.9,22,64,0
WA3,26,77,0,0,3
WA4,0,3.7,26,96,12
WA5,31,141,0,0,4.5
WA6,0,3.5,16,56,0
WA7,43,172,0,0,4
WA8,0,5.9,30,177,0
WA9,20,33,0,0,1.7
WA10,0,1.5,13,19,0
WA11,14,,,,0
WA12,0,1.5,12,18,19
WA13,8,81,0,27,10.1
WA14,0,3.1,16,50,0
WA15,19,18,0,0,0.9
WA16,60,9.1,13,118,0
WC1A,1,,,,0
WC1B,,0,1,,
WC1H,1,,,,0
WC1N,,0,3,,
WC2B,2,,,,0
WC2E,,0,1,,
WD3,34,123,0,0,3.6
WD4,0,5.4,5,27,0
WD5,6,0,0,0,0
WD6,,0,17,,
WD7,12,32,0,0,2.7
WD17,0,0,9,0,0
WD18,15,66,0,0,4.4
WD19,,0,9,,
WD23,24,36,0,0,1.5
WD24,0,7.4,9,67,0
WD25,19,22,0,0,1.2
WF1,0,5.7,22,125,0
WF2,18,77,0,0,4.3
WF3,6,17,15,255,0
WF4,24,183,0,45,7.6
WF5,0,2.8,10,28,0
WF6,9,30,0,0,3.3
