Row Labels,L1 and L2 places attended - 2019/20,L3 places attended - 2019/20,Levels 1 and 2 Places Attended (2018/19),Level 3 Places Attended (2018/19)
TQ6,0,24,39,0
TQ7,195,0,129,0
TR10,21,0,0,0
TR7,56,0,0,0
TS8,77,0,69,0
TW16,103,0,49,0
WA12,207,0,,
WA13,168,26,122,0
WA16,330,89,177,79
WD24,18,0,14,0
WD25,41,0,32,0
WF10,92,0,47,0
WF16,112,4,0,0
WF2,277,0,181,0
WN3,138,0,165,0
WR13,32,0,47,0
WR6,153,0,72,0
WS3,262,0,213,0
WS9,180,36,189,36
YO10,140,15,132,38
YO16,67,0,33,0
YO18,53,0,76,0
YO25,195,0,242,0
YO31,96,0,118,0
YO43,0,0,72,0
YO51,18,0,53,0
YO62,39,0,90,0
YO7,0,0,68,0
B11,216,0,181,0
B13,705,122,812,124
B15,85,12,193,25
B17,48,0,45,0
B20,161,0,143,0
B21,53,0,0,0
B25,78,0,0,0
B33,655,0,283,42
B34,276,0,90,0
B38,53,0,100,0
B42,0,0,30,0
B46,53,0,0,0
B47,47,0,30,0
B50,36,0,35,0
B65,57,0,44,0
B66,44,0,29,0
B70,68,0,39,0
BA10,0,0,0,0
BA21,36,0,31,0
BB18,400,11,364,0
BD10,12,0,10,0
BD11,125,0,45,0
BD14,22,0,24,0
BD2,124,0,124,0
BD24,16,0,26,0
BD6,30,0,0,0
BD8,31,0,192,0
BH18,35,3,58,15
BH19,32,6,45,33
BH24,295,0,186,3
BH3,25,0,0,0
BH6,0,0,49,0
BN11,68,0,64,0
BN13,0,0,0,0
BN15,0,0,0,22
BN16,42,0,0,0
BN20,134,2,0,10
BN21,47,0,0,0
BN22,116,0,142,0
BN5,0,0,0,0
BS1,12,0,0,0
BS10,66,0,9,0
BS2,24,0,20,0
BS25,43,0,79,9
BS28,0,0,0,0
BS3,151,0,206,0
BS31,29,0,0,0
BS39,88,0,133,0
BS5,49,0,102,0
CA19,0,0,6,0
CA20,92,0,48,0
CA21,12,0,8,0
CA25,44,0,39,0
CA26,0,0,26,0
CA27,21,0,16,0
CH4,82,0,65,0
CH42,15,0,,
CH46,56,24,,
CH49,73,44,,
CH63,213,0,,
CH64,139,0,59,0
CM14,12,0,12,0
CM21,95,0,22,0
CM4,117,0,75,0
CO8,27,0,0,0
CT13,71,0,35,0
CT18,32,0,112,0
CT19,69,0,0,0
CT2,131,0,0,0
CT20,66,0,0,0
CT8,52,0,61,0
CV1,146,0,79,0
CV12,16,0,0,0
CV6,197,0,308,0
CW3,118,23,102,0
CW4,145,0,188,24
DA2,135,0,186,0
DA3,149,0,126,0
DE73,20,20,0,0
DE74,84,12,50,0
DL1,274,14,245,1
DL12,177,0,29,0
DL4,0,0,120,0
DL6,54,4,39,0
DL7,116,15,122,0
DL9,42,0,76,0
DN19,122,0,0,0
DN39,17,0,63,0
DT1,2,0,1,0
DT2,0,0,18,3
DT4,0,0,24,0
DT7,8,12,51,0
DT8,36,0,15,0
DT9,18,24,20,15
DY3,402,0,217,0
EN7,56,0,52,0
EX24,0,18,12,0
EX35,0,0,0,0
GU10,74,0,86,0
GU15,41,0,52,0
GU17,88,0,74,0
GU18,48,0,43,0
GU25,68,0,0,0
GU26,90,0,108,0
GU28,0,0,0,0
GU29,0,0,27,0
GU30,85,0,86,24
GU35,51,4,68,0
GU4,116,0,108,0
GU47,117,0,117,0
GU5,175,0,123,0
GU6,109,0,108,0
HA6,33,0,28,0
HG4,87,0,65,0
HP27,7,0,29,0
HP7,29,0,0,0
HP8,23,0,24,0
HU12,79,0,126,0
HU15,203,0,161,0
HU16,124,3,57,0
HU19,0,0,43,0
HU2,0,0,,
HX1,298,0,187,0
IP1,68,0,10,0
IP11,107,0,127,0
IP17,25,0,19,0
IP19,31,0,0,0
IP23,9,0,8,0
IP25,0,0,0,0
IP30,32,0,35,0
IP5,220,0,224,0
IP8,65,0,0,0
KT11,0,0,0,0
KT20,147,0,277,0
KT4,15,0,0,0
L14,33,0,,
L16,54,0,,
L20,124,0,0,0
L23,208,60,,
L26,72,0,0,0
L4,216,53,,
L5,166,0,,
L6,17,0,0,0
LA10,34,0,21,0
LA15,91,47,93,17
LA17,14,0,0,0
LA20,26,0,18,0
LA7,82,0,60,0
LE10,116,32,108,34
LE13,42,0,84,0
LE18,94,0,105,0
LE6,30,0,141,0
LE65,22,0,68,0
LE9,125,0,136,0
LN10,73,0,65,0
LN7,71,0,56,0
LN9,65,0,12,0
LS2,65,10,60,8
LS20,96,0,175,0
LS24,13,0,0,0
M15,119,0,12,0
M32,101,0,143,0
M33,528,0,620,0
M4,17,0,0,0
M46,114,0,180,0
ME1,53,0,70,0
ME15,145,4,0,0
ME16,106,30,16,0
ME18,81,0,8,0
ME4,78,0,70,0
MK14,80,0,79,0
MK16,133,5,121,7
MK2,0,0,23,0
MK5,133,3,139,0
MK6,50,0,63,0
NE18,13,0,4,0
NE22,58,0,70,0
NE24,181,0,177,0
NE26,140,0,143,0
NE27,47,0,0,0
NE35,51,0,69,0
NE36,119,0,230,0
NE37,98,0,106,0
NE39,118,0,130,0
NE42,17,0,9,0
NE46,23,0,0,0
NE49,,,,
NE63,34,0,133,0
NE7,210,0,51,0
NE71,33,0,34,0
NG1,37,0,24,0
NG23,171,0,102,0
NG25,75,24,126,0
NP16,36,0,35,0
NP25,8,0,9,0
NR11,,,0,0
NR12,,,0,0
NR13,,,0,0
NR17,,,0,0
NR24,,,,
NR25,,,0,0
NR30,9,0,0,0
NR32,0,18,20,0
NR35,37,0,20,0
OL14,329,0,225,0
OL4,422,0,431,0
OX13,38,0,0,0
OX14,99,17,83,18
OX27,59,0,10,0
OX9,77,0,0,0
PE21,129,38,290,0
PE24,58,0,57,0
PE30,42,0,0,0
PE31,18,0,0,0
PE33,0,0,0,0
PE5,27,0,25,0
PL10,11,0,,
PL24,49,0,0,0
PL28,65,0,,
PL29,0,0,,
PL31,72,0,0,0
PL32,,,,
PL34,0,0,,
PL35,0,0,,
PO17,0,0,25,0
PO20,12,0,48,0
PO22,0,0,0,0
PO3,102,4,158,22
RG23,57,0,82,0
RG45,7,0,45,0
RG9,163,0,99,0
RH20,0,0,0,0
RH3,0,0,60,0
RH9,34,0,49,0
RM19,14,0,7,0
RM20,58,0,21,0
S17,33,0,116,0
S2,195,0,166,0
S20,14,0,62,20
S6,102,0,211,0
S60,78,0,29,0
S62,44,0,91,0
S63,119,0,183,0
S65,66,0,101,0
S7,206,20,275,0
S72,106,38,49,0
S9,0,0,20,0
SG15,49,0,,
SG9,56,0,32,0
SK12,233,0,224,0
SK2,91,0,107,0
SK5,51,0,55,0
SL0,47,0,52,0
SL2,192,0,237,26
SL4,155,0,303,11
SL8,48,0,0,0
SM2,46,0,122,0
SN2,38,0,53,0
SO14,119,0,,
SO17,101,0,,
SO18,420,0,,
SO42,42,0,44,0
SR7,283,0,273,0
SS0,299,117,340,37
SS13,16,0,18,0
SS2,83,0,267,0
SS5,118,0,0,0
SS6,168,0,0,0
ST12,0,0,23,0
ST19,0,0,0,0
SY9,0,0,0,29
TA15,0,0,0,0
TA19,12,0,0,0
TA22,24,0,22,0
TA8,12,0,47,0
TF11,114,0,50,0
TF13,0,0,22,0
TF3,76,0,109,0
TF6,27,0,29,0
TN15,91,0,74,63
TN2,49,2,56,0
TN20,21,0,13,0
TN29,47,0,35,0
TN36,15,0,13,0
TN7,26,0,20,0
TN8,15,0,9,0
TQ11,40,0,21,0
TQ4,216,0,172,0
TR26,8,0,0,0
TR8,30,0,0,0
TR9,42,0,,
TS11,0,0,0,0
TS16,90,0,72,0
TS17,30,0,223,0
TS21,5,0,118,0
TS23,44,0,68,0
TS27,63,0,75,0
TS5,181,0,162,0
TS7,32,0,21,0
WA10,126,0,,
WA14,259,0,292,0
WA15,333,0,352,0
WA9,194,0,,
WD17,44,0,36,0
WD4,43,0,47,0
WD5,82,0,101,0
WF5,219,0,176,0
WF6,73,0,40,0
WF9,96,0,149,0
WN1,43,0,82,0
WR1,39,0,33,0
WR15,40,0,18,0
WR4,64,0,33,0
WS4,47,0,69,0
WV14,49,66,223,30
WV5,108,0,125,0
WV6,290,42,124,0
WV8,224,129,158,171
YO11,84,0,68,0
YO14,64,0,52,0
YO21,6,0,26,0
YO24,53,59,91,24
YO42,35,0,61,0
 M3,12,0,0,0
 NW3,,,0,0
 RG8,0,0,0,0
 SW17,,,0,0
B1,129,0,33,0
B10,295,0,240,0
B16,24,0,46,0
B18,0,0,0,0
B19,152,0,0,0
B26,148,0,24,0
B27,96,31,77,0
B35,0,0,36,0
B4,0,0,0,0
B43,154,0,129,0
B48,0,0,0,0
B5,0,0,0,0
B78,35,0,58,0
B80,25,0,0,0
B96,45,0,33,0
B97,87,0,113,0
BA7,22,0,35,0
BA9,24,0,12,0
BD1,0,0,0,0
BD5,26,0,58,0
BD7,0,0,100,0
BH1,0,0,0,0
BH13,0,0,0,0
BH2,23,0,12,0
BH31,0,0,0,0
BH4,0,0,0,0
BH7,41,0,0,0
BH8,0,0,0,0
BN26,21,0,9,0
BN42,49,0,38,0
BN43,34,0,51,0
BN44,0,0,0,0
BR1,,,0,0
BR2,,,0,0
BR3,,,0,0
BR4,,,0,0
BR5,,,0,0
BR6,,,0,0
BR7,,,0,0
BS14,85,0,87,0
BS26,0,0,0,0
BS27,0,0,0,0
BS29,19,0,0,0
BS41,106,0,108,0
BS49,25,0,0,0
BS8,164,0,56,0
CA23,0,0,11,0
CA24,6,0,0,0
CA9,27,0,0,0
CH45,244,19,0,0
CH47,27,0,,
CH48,88,0,,
CH60,79,24,,
CH65,53,0,119,0
CR0,,,0,0
CR2,,,0,0
CR4,,,0,0
CR5,,,0,0
CR6,22,0,0,0
CR7,,,0,0
CR8,,,0,0
CR9,,,0,0
CT12,36,0,49,0
CT17,43,0,0,0
CT21,115,0,126,0
CT7,45,0,40,0
CT9,62,6,46,0
CV13,24,0,11,0
CV2,113,0,156,0
CV4,67,0,50,0
DA10,0,0,0,0
DA14,,,0,0
DA15,,,0,0
DA16,,,0,0
DA17,,,0,0
DA18,,,0,0
DA4,33,0,48,0
DA5,0,0,0,0
DA6,,,0,0
DA7,,,0,0
DA8,,,0,0
DA9,0,0,0,0
DE1,0,0,0,0
DL11,0,0,0,0
DL5,120,0,21,0
DN1,6,0,22,0
DN12,26,0,17,0
DN2,37,0,27,0
DN3,32,0,57,0
DN31,30,0,0,0
DN38,100,0,0,0
DN4,0,0,0,0
DN5,85,0,96,0
DN6,27,0,0,0
DN7,26,0,33,0
DN8,0,0,0,0
DT10,51,11,41,9
DT5,0,0,0,0
DT6,69,0,81,0
DY2,33,0,0,0
DY7,0,0,0,0
E1,,,0,0
E10,,,0,0
E11,,,0,0
E12,,,0,0
E13,,,0,0
E14,,,0,0
E15,,,0,0
E16,,,0,0
E17,,,0,0
E18,,,0,0
E1W,,,0,0
E2,,,0,0
E20,,,0,0
E3,,,0,0
E4,,,0,0
E5,,,0,0
E6,,,0,0
E7,,,0,0
E8,,,0,0
E9,,,0,0
EC1M,,,0,0
EC1N,,,0,0
EC1R,,,0,0
EC1V,,,0,0
EC1Y,,,0,0
EC2A,,,0,0
EC2Y,,,0,0
EC3A,,,0,0
EC3N,,,0,0
EC4M,,,0,0
EC4V,,,0,0
EN1,,,0,0
EN2,,,0,0
EN3,,,0,0
EN4,0,0,0,0
EN5,0,0,0,0
EN8,62,0,141,0
EX18,48,0,32,0
FY7,173,0,118,0
GL50,26,0,75,0
GU19,107,0,110,0
GU20,0,0,0,0
GU23,74,0,44,0
GU3,0,0,0,0
GU51,126,0,89,0
HA0,,,0,0
HA1,,,0,0
HA2,,,0,0
HA3,,,0,0
HA4,,,0,0
HA5,,,0,0
HA7,,,0,0
HA8,0,0,0,0
HA9,,,0,0
HP19,28,0,0,0
HP20,22,0,40,0
HP3,160,0,144,0
HR1,185,0,215,11
HR2,116,0,210,12
HR3,0,0,25,0
HR4,241,0,368,0
HR5,0,0,0,0
HR6,103,0,181,0
HR7,25,0,31,0
HR8,57,0,92,0
HR9,57,0,138,0
HU1,0,0,0,0
HU11,23,0,22,0
HU13,24,0,11,0
HU20,11,0,0,0
IG1,,,0,0
IG11,,,0,0
IG2,,,0,0
IG3,,,0,0
IG4,,,0,0
IG5,,,0,0
IG6,,,0,0
IG8,0,0,0,0
IP10,0,0,22,0
IP15,0,0,0,0
IP16,0,0,18,0
IP18,0,0,0,0
IP24,22,0,0,0
IP26,,,0,0
IP3,24,0,0,0
IP6,20,0,21,0
KT1,,,0,0
KT2,,,0,0
KT3,,,0,0
KT5,,,0,0
KT6,0,0,0,0
KT9,,,0,0
L1,0,0,0,0
L10,116,0,,
L17,128,0,,
L18,276,46,,
L19,123,0,,
L22,70,0,,
L24,60,0,17,0
L27,22,0,,
L28,0,0,,
L3,9,0,,
L32,79,0,,
L33,28,0,,
L69,,,,
L7,93,16,,
L9,145,0,,
LA16,29,0,30,0
LA19,20,0,22,0
LA21,21,0,19,0
LE1,0,0,0,0
LE14,11,0,11,0
LE8,71,0,147,8
LN11,150,0,191,0
LN12,0,0,21,0
LN13,28,0,57,0
LS3,47,0,30,0
LS5,0,0,61,0
M18,35,122,187,0
M2,0,0,0,0
M3,0,0,0,0
M31,76,0,43,0
M41,148,0,351,0
M43,81,0,122,0
M5,26,0,12,0
M50,0,0,0,0
M6,14,0,10,0
M7,40,0,101,0
ME11,,,,
ME12,166,0,85,0
ME19,242,0,210,0
MK11,37,0,36,0
MK12,43,0,225,17
MK13,51,0,64,0
MK15,0,0,0,0
MK4,214,11,86,0
MK46,31,0,35,0
MK7,47,0,41,0
MK9,,,,
N1,,,0,0
N10,0,0,0,0
N11,0,0,0,0
N12,0,0,0,0
N13,,,0,0
N14,0,0,0,0
N15,,,0,0
N16,,,0,0
N17,,,0,0
N18,,,0,0
N19,,,0,0
N1C,,,0,0
N2,0,0,0,0
N20,0,0,0,0
N21,,,0,0
N22,,,0,0
N3,0,0,0,0
N4,,,0,0
N5,,,0,0
N6,,,0,0
N7,,,0,0
N8,,,0,0
N9,,,0,0
NE1,,,,
NE11,82,28,130,0
NE17,0,0,0,0
NE19,0,0,0,0
NE20,0,0,,
NE41,,,,
NE43,0,0,0,0
NE44,0,0,0,0
NE45,57,0,50,0
NE47,31,0,27,0
NE48,12,0,44,9
NE65,51,0,21,0
NE66,93,9,144,0
NE67,0,0,0,0
NE68,0,0,11,0
NE70,0,0,0,0
NR21,0,0,0,0
NR22,,,0,0
NR23,,,,
NR26,,,0,0
NR27,,,0,0
NR28,,,0,0
NR3,,,0,0
NW1,,,0,0
NW10,,,0,0
NW11,0,0,0,0
NW2,0,0,0,0
NW3,,,0,0
NW4,0,0,0,0
NW5,,,0,0
NW6,,,0,0
NW7,0,0,0,0
NW8,,,0,0
NW9,0,0,0,0
OX1,87,0,100,0
OX12,11,0,0,0
OX2,73,0,77,0
OX25,50,0,0,0
OX39,0,0,0,0
OX44,31,0,24,0
OX49,10,0,0,0
PE20,41,0,0,0
PE23,12,0,53,0
PE36,,,0,0
PE37,0,0,0,0
PL16,12,0,11,0
PL22,14,0,,
PL23,10,0,0,0
PL33,0,0,,
PO30,126,0,51,0
PO31,29,0,52,0
PO32,41,0,11,0
PO33,148,5,47,0
PO34,0,0,0,0
PO35,40,0,0,0
PO36,10,0,59,0
PO37,22,0,0,0
PO38,9,0,30,0
PO39,0,0,0,0
PO40,0,0,0,0
PO41,0,0,0,0
RG28,0,0,58,0
RH14,0,0,0,0
RH16,118,0,34,0
RH18,136,0,39,0
RH2,19,0,9,0
RH5,0,0,0,0
RM1,,,0,0
RM10,,,0,0
RM11,,,0,0
RM12,,,0,0
RM13,,,0,0
RM14,0,0,0,0
RM2,,,0,0
RM3,,,0,0
RM4,0,0,,
RM5,,,0,0
RM6,,,0,0
RM7,,,0,0
RM8,,,0,0
RM9,,,0,0
S1,0,0,0,0
S12,203,0,57,0
S14,0,0,0,0
S26,63,0,95,0
S3,12,0,77,0
S4,88,0,60,0
S5,31,0,127,0
S61,15,0,53,0
S64,30,0,33,0
S66,121,0,120,23
SE1,,,0,0
SE10,,,0,0
SE11,,,0,0
SE12,,,0,0
SE13,,,0,0
SE14,,,0,0
SE15,,,0,0
SE16,,,0,0
SE17,,,0,0
SE18,,,0,0
SE19,,,0,0
SE2,,,0,0
SE20,,,0,0
SE21,,,0,0
SE22,,,0,0
SE23,,,0,0
SE24,,,0,0
SE25,,,0,0
SE26,,,0,0
SE27,,,0,0
SE28,,,0,0
SE3,,,0,0
SE4,,,0,0
SE5,,,0,0
SE6,,,0,0
SE7,,,0,0
SE8,,,0,0
SE9,,,0,0
SG10,27,0,28,0
SG3,100,0,96,0
SG7,47,0,64,0
SK1,52,0,33,0
SL3,133,9,138,45
SL5,111,0,72,0
SM1,,,0,0
SM3,,,0,0
SM4,,,0,0
SM5,,,0,0
SM6,,,0,0
SN26,,,,
SN7,8,8,0,0
SO15,261,0,,
SO43,0,0,0,0
SO52,55,30,0,0
SP8,43,9,59,6
SR1,0,0,0,0
ST21,54,0,37,0
SW10,,,0,0
SW11,,,0,0
SW12,,,0,0
SW13,,,0,0
SW14,,,0,0
SW15,,,0,0
SW16,,,0,0
SW17,,,0,0
SW18,,,0,0
SW19,,,0,0
SW1E,,,0,0
SW1H,,,0,0
SW1P,,,0,0
SW1V,,,0,0
SW1W,,,0,0
SW1X,,,0,0
SW2,,,0,0
SW20,,,0,0
SW3,,,0,0
SW4,,,0,0
SW5,,,0,0
SW6,,,0,0
SW7,,,0,0
SW8,,,0,0
SW9,,,0,0
SY13,38,14,16,1
SY14,0,0,39,0
SY15,0,0,0,0
TA16,0,0,0,0
TA17,0,0,0,0
TA18,0,0,0,0
TA23,0,0,0,0
TA24,0,0,0,0
TA9,12,0,21,0
TD15,117,0,49,0
TF4,47,0,18,0
TF5,41,0,120,0
TF7,77,0,85,0
TF8,22,0,19,0
TN1,0,0,,
TN10,26,0,16,0
TN12,89,0,30,0
TN18,40,0,40,0
TN28,0,0,0,0
TN30,34,0,0,0
TQ10,52,0,47,0
TQ8,11,0,13,0
TR15,33,0,0,0
TR17,7,0,,
TR21,,,0,0
TR5,,,0,0
TR6,,,0,0
TS1,18,0,59,0
TS12,177,0,152,0
TS13,21,0,0,0
TS18,24,0,0,0
TS19,52,0,89,0
TS2,0,0,0,0
TS20,22,0,0,0
TS22,106,0,56,0
TS24,15,0,25,0
TS25,184,0,60,0
TS26,175,0,88,7
TS28,0,0,0,0
TS29,0,0,14,0
TS3,118,0,120,0
TS4,131,0,137,0
TS9,58,0,57,0
TW1,,,0,0
TW10,,,0,0
TW11,,,0,0
TW12,,,0,0
TW13,,,0,0
TW14,,,0,0
TW17,79,0,24,0
TW19,26,0,35,0
TW2,,,0,0
TW3,,,0,0
TW4,,,0,0
TW5,,,0,0
TW7,,,0,0
TW8,,,0,0
TW9,,,0,0
UB1,,,0,0
UB10,,,0,0
UB2,,,0,0
UB3,,,0,0
UB4,,,0,0
UB5,,,0,0
UB6,,,0,0
UB7,,,0,0
UB8,0,0,0,0
UB9,0,0,0,0
W10,,,0,0
W11,,,0,0
W12,,,0,0
W13,,,0,0
W14,,,0,0
W1B,,,0,0
W1D,,,0,0
W1G,,,0,0
W1H,,,0,0
W1J,,,,
W1K,,,0,0
W1U,,,0,0
W1W,,,0,0
W2,,,0,0
W3,,,0,0
W4,,,0,0
W5,,,0,0
W6,,,0,0
W7,,,0,0
W8,,,0,0
W9,,,0,0
WA11,135,0,,
WC1A,,,0,0
WC1B,,,0,0
WC1H,,,0,0
WC1N,,,0,0
WC2B,,,0,0
WC2E,,,0,0
WD19,90,0,86,0
WD6,65,0,47,0
WF11,29,0,49,0
WF8,196,0,221,0
WN5,103,0,80,0
WS1,60,0,88,18
WS2,103,0,117,0
WS5,41,6,40,0
WS6,86,0,357,0
WS8,94,0,107,0
WV1,181,110,188,87
WV10,274,0,175,0
WV11,297,0,403,27
WV12,127,0,69,0
WV13,68,0,54,0
WV15,0,0,0,0
WV2,0,0,7,0
WV3,416,0,543,4
WV4,200,0,173,34
WV7,18,0,0,0
WV9,0,0,17,0
YO13,68,0,102,0
YO15,18,0,31,0
YO19,41,14,38,0
YO22,45,5,43,0
YO41,128,0,45,0
YO60,0,0,39,0
(blank),,,,
