Row Labels,Number of instructors,Sum of Number of schools,No delivery due to covid,Sum of Levels 1 and 2 places attended (2020/21),Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020/21),Sum of % schools that booked Bikeability2,Sum of % schools that booked Bikeability,Sum of Level 3 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19)
LS6,6,4,,57,82,0,13,50,50,0,0,83
LS7,4,2,,0,0,0,0,0,0,0,0,61
LS8,7,9,,61,94,0,1,22,22,0,0,123
LS9,0,10,,73,153,0,72,20,20,0,0,191
LU1,0,12,,36,521,0,160,25,25,162,98,430
LU2,2,17,,0,364,0,210,18,18,0,0,328
LU3,2,24,,84,120,0,0,8,8,0,0,229
LU4,1,19,,75,145,0,0,21,21,12,0,273
LU5,0,23,,108,85,0,116,13,13,0,0,66
LU6,1,21,,77,231,0,0,14,14,0,0,58
LU7,8,22,,84,325,0,0,27,27,2,0,410
M11,1,15,,92,258,0,0,40,40,0,0,400
M12,0,26,,586,1027,35,90,62,62,133,0,26
M13,0,13,,44,236,0,0,54,54,40,0,218
M14,3,12,,52,111,0,0,25,25,0,0,194
M15,1,10,,58,177,0,0,20,20,9,53,122
M16,2,12,,75,351,0,0,67,67,39,0,267
M18,0,8,,285,119,0,0,13,13,0,0,12
M19,4,16,,166,283,0,55,31,31,138,0,102
M2,0,10,,0,35,0,0,0,0,122,0,187
M20,4,11,,27,263,0,0,18,18,0,0,146
M21,4,1,,0,0,0,0,0,0,0,0,0
M22,0,14,Yes,0,222,0,0,21,21,21,0,123
M23,1,18,,89,309,0,0,28,28,78,680,340
M24,0,14,,63,246,0,0,21,21,0,28,203
M25,1,15,Yes,0,205,0,0,13,13,0,0,202
M26,1,13,,81,249,0,30,31,31,15,85,206
M27,0,21,,48,324,30,0,14,14,24,0,115
M28,1,13,,108,105,0,0,31,31,0,0,244
M29,0,18,,34,259,0,0,22,22,0,0,216
M3,0,17,,54,287,0,118,35,35,0,0,238
M30,0,9,,60,104,0,0,33,33,0,0,48
M31,1,3,,0,0,0,0,0,0,0,0,0
M32,1,21,,112,154,0,0,19,19,0,0,181
M33,1,5,,0,76,0,0,0,0,0,0,43
M34,1,13,,56,101,0,0,8,8,0,0,143
M35,0,24,,22,528,0,0,4,4,0,0,620
M38,0,6,Yes,0,109,0,0,33,33,0,0,44
M4,0,4,Yes,0,17,0,0,25,25,0,0,0
M40,1,19,,229,266,0,0,32,32,0,0,204
M41,2,11,,150,160,0,64,27,27,8,6,331
M43,1,21,,61,274,0,0,10,10,216,321,237
M44,0,20,,0,148,0,0,0,0,0,0,351
M45,0,9,,0,81,0,0,0,0,0,0,122
M46,0,9,,64,60,0,0,22,22,0,0,179
M5,0,10,,73,181,0,45,20,20,0,0,233
M50,1,11,,28,114,0,0,9,9,0,0,180
M6,2,6,,0,26,0,0,0,0,0,0,12
M7,0,2,,0,0,0,0,0,0,0,0,0
M8,0,13,,0,14,0,0,0,0,0,0,10
M9,1,34,,0,40,0,0,0,0,0,0,101
ME1,1,15,,62,304,0,186,20,20,60,0,158
ME10,1,19,,65,366,0,37,32,32,14,0,286
ME11,0,18,,31,53,0,0,6,6,0,0,70
ME12,0,21,,44,87,0,186,29,29,0,0,32
ME13,2,1,,0,0,0,0,0,0,0,0,0
ME14,1,11,,0,166,0,0,0,0,0,0,85
ME15,4,18,Yes,0,145,0,0,6,6,4,0,0
ME16,2,15,,229,244,0,0,53,53,0,0,38
ME17,1,12,,149,182,0,88,42,42,16,0,0
ME18,1,17,,15,106,0,0,6,6,30,0,16
ME19,0,15,,84,85,0,0,27,27,24,0,11
ME2,1,4,,24,81,0,0,25,25,0,0,8
ME20,1,13,,0,242,0,0,0,0,0,0,210
ME3,1,19,,49,125,0,0,21,21,0,0,129
ME4,0,9,,58,127,0,0,22,22,0,10,141
ME5,1,12,,36,138,0,60,50,50,0,0,113
ME6,1,16,,16,78,0,0,6,6,0,0,70
ME7,1,18,,64,139,0,0,33,33,0,0,115
ME8,1,4,,50,32,0,0,50,50,0,0,34
ME9,1,17,,20,127,0,0,24,24,0,0,130
MK10,0,18,,82,152,0,0,28,28,0,0,146
MK11,0,16,,166,182,0,0,50,50,0,0,85
MK12,0,7,,156,245,0,3,43,43,0,12,230
MK13,1,3,,0,37,0,0,0,0,0,0,36
MK14,0,12,Yes,0,80,0,0,8,8,0,0,79
MK15,2,7,,0,43,0,0,0,0,0,17,225
MK16,1,7,,0,51,0,0,0,0,0,0,64
MK17,0,1,,0,0,0,0,0,0,0,0,0
MK18,0,8,,60,133,0,4,13,13,5,7,121
MK19,0,8,Yes,0,44,0,0,38,38,0,0,104
MK2,1,16,,92,208,25,10,25,25,27,0,176
MK3,1,21,,41,141,0,0,29,29,12,0,408
MK4,0,7,,24,0,0,0,14,14,0,0,23
MK40,2,14,,37,183,0,0,14,14,4,6,136
MK41,3,6,,0,214,0,0,0,0,11,0,86
MK42,1,13,,115,51,0,0,38,38,0,0,141
MK43,2,18,,65,417,0,0,39,39,56,29,373
MK44,2,25,,91,239,0,0,40,40,11,17,198
MK45,1,20,,61,200,0,5,30,30,12,12,229
MK46,0,14,,162,64,0,15,64,64,0,0,135
MK5,0,23,,169,333,0,35,52,52,0,0,0
MK6,1,15,Yes,0,50,0,0,7,7,0,0,63
MK7,1,3,,0,31,0,0,0,0,0,0,35
MK8,0,8,,30,133,0,2,13,13,3,0,139
MK9,0,6,,0,47,0,0,0,0,0,0,41
N1,4,8,,39,44,0,0,38,38,0,8,41
N10,0,1,,0,0,0,0,0,0,0,0,0
N11,1,38,,0,0,0,0,0,0,0,0,0
N12,1,13,,0,0,0,0,0,0,0,0,0
N13,2,14,,0,0,0,0,0,0,0,0,0
N14,0,13,,0,0,0,0,0,0,0,0,0
N15,6,7,,0,0,0,0,0,0,0,0,0
N16,15,17,,0,0,0,0,0,0,0,0,0
N17,2,18,,0,0,0,0,0,0,0,0,0
N18,0,42,,0,0,0,0,0,0,0,0,0
N19,1,27,,0,0,0,0,0,0,0,0,0
N1C,0,7,,0,0,0,0,0,0,0,0,0
N2,0,10,,0,0,0,0,0,0,0,0,0
N20,0,3,,0,0,0,0,0,0,0,0,0
N21,0,8,,0,0,0,0,0,0,0,0,0
N22,0,10,,0,0,0,0,0,0,0,0,0
N3,1,9,,0,0,0,0,0,0,0,0,0
N4,6,17,,0,0,0,0,0,0,0,0,0
N5,0,11,,0,0,0,0,0,0,0,0,0
N6,2,13,,0,0,0,0,0,0,0,0,0
N7,0,9,,0,0,0,0,0,0,0,0,0
N8,3,8,,0,0,0,0,0,0,0,0,0
N9,3,14,,0,0,0,0,0,0,0,0,0
NE1,2,16,,0,0,0,0,0,0,0,0,0
NE10,1,18,,0,0,0,0,0,0,0,0,0
NE11,1,1,,0,0,0,0,0,0,0,0,0
NE12,3,18,,126,543,0,0,44,44,0,0,505
NE13,1,6,Yes,0,128,0,0,33,33,0,0,87
NE15,2,6,,0,82,0,0,0,0,28,0,130
NE16,3,16,,124,201,0,0,25,25,0,0,270
NE17,0,18,,0,308,0,20,28,28,0,0,184
NE18,0,1,Yes,0,13,0,0,100,100,0,0,4
NE19,0,11,,162,398,0,0,45,45,0,10,310
NE2,1,8,Yes,0,131,0,0,25,25,0,0,117
NE20,0,1,,0,0,0,0,0,0,0,0,0
NE21,0,6,Yes,0,84,0,0,33,33,0,0,152
NE22,0,9,Yes,0,58,0,0,11,11,0,0,70
NE23,3,15,Yes,0,211,0,0,13,13,24,0,226
NE24,0,11,Yes,0,181,0,0,9,9,0,0,177
NE25,3,1,,0,0,0,0,0,0,0,0,0
NE26,0,6,Yes,0,140,0,0,17,17,0,0,143
NE27,0,6,,0,0,0,0,0,0,0,0,0
NE28,0,17,,134,453,0,0,29,29,37,0,423
NE29,2,5,,19,47,0,0,20,20,0,0,0
NE3,4,17,,167,288,0,0,41,41,18,0,300
NE30,2,13,,129,324,0,0,54,54,36,0,281
NE31,3,23,,73,367,0,30,52,52,11,9,627
NE32,1,9,,78,143,0,0,33,33,0,0,118
NE33,1,10,,101,307,0,0,20,20,0,0,351
NE34,1,14,,189,342,0,0,43,43,0,0,420
NE35,1,8,,131,340,0,0,38,38,0,0,290
NE36,0,19,,284,754,0,0,32,32,0,0,864
NE37,0,8,Yes,0,98,0,0,13,13,0,0,106
NE38,1,3,,29,51,0,0,33,33,0,0,69
NE39,0,4,,55,119,0,0,25,25,0,0,230
NE4,1,19,Yes,0,94,0,0,16,16,0,0,196
NE40,3,16,,23,191,0,5,38,38,112,0,159
NE41,0,4,,34,118,0,0,25,25,0,0,130
NE42,0,7,,60,224,0,0,43,43,0,0,218
NE43,2,1,,0,0,0,0,0,0,0,0,0
NE44,0,8,,56,17,0,0,13,13,0,0,9
NE45,0,3,,0,0,0,0,0,0,0,0,0
NE46,0,1,,0,0,0,0,0,0,0,0,0
NE47,0,2,,0,57,0,0,0,0,0,0,50
NE48,0,10,,31,23,7,0,10,10,0,0,0
NE49,0,8,,0,31,0,0,0,0,0,0,27
NE5,0,6,,0,12,0,0,0,0,0,9,44
NE6,1,1,,17,0,0,0,100,100,0,0,0
NE61,2,17,,6,401,0,0,18,18,0,0,460
NE62,0,17,,0,414,0,40,29,29,0,0,360
NE63,0,20,,0,23,0,101,10,10,0,0,115
NE65,1,5,,82,53,0,0,60,60,0,0,129
NE66,0,10,,23,34,0,0,10,10,0,0,133
NE67,0,12,,0,51,0,0,0,0,0,0,21
NE68,0,11,,0,93,0,0,0,0,9,0,144
NE7,0,4,Yes,0,210,0,0,25,25,0,0,51
NE70,0,1,,0,0,0,0,0,0,0,0,0
NE71,0,2,Yes,0,33,0,0,50,50,0,0,34
NE8,1,1,,0,0,0,0,0,0,0,0,11
NE9,1,1,,0,0,0,0,0,0,0,0,0
NG1,0,4,Yes,0,37,0,0,25,25,0,0,24
NG10,2,18,,82,164,0,0,11,11,0,0,182
NG11,3,17,,246,457,0,0,35,35,0,0,363
NG12,1,19,,219,363,33,0,32,32,53,0,0
NG13,0,14,,60,127,0,12,29,29,0,0,34
NG14,3,17,,123,270,12,0,29,29,0,0,270
NG15,3,12,,132,246,0,0,33,33,0,3,130
NG16,3,10,,108,175,0,48,40,40,0,0,61
NG17,3,16,,168,117,6,24,44,44,4,6,216
NG18,1,33,,420,237,0,303,45,45,0,4,162
NG19,1,30,,162,357,0,0,13,13,0,0,128
NG2,2,15,,150,223,12,120,33,33,0,0,175
NG20,0,27,,279,361,12,48,22,22,0,0,213
NG21,0,21,,168,346,0,0,29,29,71,29,479
NG22,2,17,,41,63,0,84,29,29,0,10,46
NG23,0,13,Yes,0,171,0,0,8,8,0,0,102
NG24,3,10,,102,208,0,48,40,40,0,0,245
NG25,0,16,,81,265,36,60,25,25,0,0,118
NG3,5,19,,198,309,0,0,26,26,25,4,594
NG31,2,4,,60,75,0,0,25,25,24,0,126
NG32,0,18,,78,182,0,9,39,39,0,0,94
NG33,1,27,,151,133,21,0,26,26,49,26,223
NG34,1,9,,48,265,0,0,33,33,0,0,21
NG4,4,9,,38,24,0,0,33,33,0,0,12
NG5,4,19,,81,282,0,0,21,21,12,0,228
NG6,1,19,,216,202,0,24,26,26,11,0,217
NG7,5,19,Yes,0,136,0,0,21,21,0,0,37
NG8,3,27,Yes,0,148,0,0,26,26,0,0,255
NG9,7,39,,183,307,0,24,23,23,2,0,121
NN1,0,14,,0,114,0,30,36,36,0,0,187
NN10,4,26,,240,499,0,12,35,35,15,0,71
NN11,0,11,,71,35,0,0,36,36,7,0,19
NN12,2,14,,67,138,0,0,36,36,0,0,58
NN13,0,19,,146,271,0,0,68,68,0,0,239
NN14,2,18,,55,233,0,0,50,50,0,0,240
NN15,1,12,,73,112,0,0,42,42,0,0,208
NN16,1,23,,176,400,0,0,48,48,0,0,198
NN17,0,20,,47,308,0,0,20,20,0,0,292
NN18,0,9,,24,162,0,0,22,22,0,0,161
NN2,0,13,,22,82,9,14,23,23,0,15,58
NN29,1,15,,23,88,0,0,13,13,0,13,137
NN3,1,19,,40,41,0,0,21,21,0,0,46
NN4,2,6,,73,53,0,0,83,83,0,0,0
NN5,3,31,,70,348,0,0,23,23,27,22,401
NN6,2,18,,149,248,0,0,39,39,0,27,297
NN7,0,14,,66,255,0,0,43,43,12,0,131
NN8,1,26,,135,410,0,0,46,46,0,0,382
NN9,0,22,,105,361,0,0,55,55,0,0,508
NP10,2,,,,,,,,,,,
NP16,0,23,,75,0,0,0,22,22,0,0,36
NP19,3,,,,,,,,,,,
NP20,1,,,,,,,,,,,
NP25,0,11,,19,134,0,9,55,55,8,0,92
NP26,1,,,,,,,,,,,
NR1,1,4,,56,36,0,0,25,25,0,0,35
NR10,1,1,,4,8,0,0,100,100,0,0,9
NR11,2,14,Yes,0,0,0,0,7,7,0,0,0
NR12,0,11,,12,0,6,24,36,36,0,0,0
NR13,0,13,,24,13,0,0,15,15,0,0,0
NR14,0,17,,28,0,0,0,6,6,0,0,0
NR15,1,12,Yes,0,44,0,0,25,25,0,0,0
NR16,0,10,Yes,0,0,0,0,20,20,0,0,0
NR17,1,9,Yes,0,0,0,0,11,11,0,0,0
NR18,0,9,Yes,0,49,0,0,22,22,0,0,0
NR19,0,13,,24,0,0,0,8,8,0,0,0
NR2,2,15,,107,52,0,0,33,33,0,0,0
NR20,2,11,,96,102,0,25,27,27,0,0,0
NR21,1,13,,158,132,36,24,31,31,24,0,0
NR22,0,9,,60,12,0,0,33,33,0,0,0
NR23,0,10,,0,0,0,0,0,0,0,0,0
NR24,2,1,,0,0,0,0,0,0,0,0,0
NR25,0,2,,0,0,0,0,0,0,0,0,0
NR26,0,1,,0,0,36,0,100,100,0,0,0
NR27,0,4,,5,0,0,0,25,25,0,0,0
NR28,0,3,,0,0,0,0,0,0,0,0,0
NR29,0,8,,0,0,0,0,0,0,0,0,0
NR3,0,5,,0,0,0,0,0,0,0,0,0
NR30,0,11,,24,32,0,36,36,36,0,0,0
NR31,1,10,,0,0,0,0,0,0,0,0,0
NR32,2,11,,11,9,0,0,9,9,0,0,0
NR33,2,20,,9,107,0,0,35,35,0,0,0
NR34,0,17,,9,0,0,0,6,6,18,0,20
NR35,1,9,Yes,0,37,0,0,11,11,0,0,20
NR4,0,14,,10,99,0,0,21,21,0,0,101
NR5,1,14,,78,74,0,0,43,43,0,0,48
NR6,1,11,,121,229,0,48,36,36,72,0,0
NR7,1,13,Yes,0,0,0,0,15,15,0,0,0
NR8,0,12,,96,65,0,10,42,42,0,0,0
NR9,0,12,,48,0,0,30,17,17,0,0,0
NW1,2,9,,72,114,48,90,56,56,0,0,0
NW10,6,12,,111,143,14,0,50,50,42,0,0
NW11,0,23,,0,0,0,0,0,0,0,0,0
NW2,0,32,,0,0,0,0,0,0,0,0,0
NW3,2,15,,0,0,0,0,0,0,0,0,0
NW4,0,20,,0,0,0,0,0,0,0,0,0
NW5,0,38,,0,0,0,0,0,0,0,0,0
NW6,7,18,,0,0,0,0,0,0,0,0,0
NW7,0,14,,0,0,0,0,0,0,0,0,0
NW8,2,28,,0,0,0,0,0,0,0,0,0
NW9,0,18,,0,0,0,0,0,0,0,0,0
OL1,1,13,,0,0,0,0,0,0,0,0,0
OL10,0,23,,0,0,0,0,0,0,0,0,0
OL11,0,12,,210,297,0,48,42,42,0,0,291
OL12,1,11,,123,177,0,0,45,45,45,0,111
OL13,1,17,,44,513,0,100,18,18,0,0,343
OL14,1,8,Yes,0,329,0,0,13,13,0,0,225
OL15,1,28,,121,372,0,57,14,14,0,0,676
OL16,1,10,,120,312,0,0,30,30,64,12,268
OL2,1,5,,40,168,0,0,40,40,0,0,87
OL3,0,17,,214,266,0,27,29,29,20,0,221
OL4,2,21,,60,767,0,92,29,29,0,0,684
OL5,2,9,,97,346,0,76,44,44,0,0,331
OL6,4,19,,0,422,0,30,5,5,0,0,431
OL7,1,6,,75,122,0,0,50,50,0,0,139
OL8,1,19,,102,81,0,0,16,16,0,0,80
OL9,0,6,,85,107,0,0,33,33,0,0,29
OX1,0,22,,238,456,28,178,32,32,0,20,672
OX10,0,22,,383,946,34,213,32,32,10,35,1093
OX11,1,11,,0,87,0,0,0,0,0,0,100
OX12,0,16,,177,119,14,0,31,31,31,0,84
OX13,1,18,,233,214,100,0,44,44,132,0,120
OX14,2,13,,0,11,0,0,0,0,0,0,0
OX15,2,9,,27,38,0,0,11,11,0,0,0
OX16,0,25,,7,99,0,0,4,4,17,18,83
OX17,2,15,,57,90,0,0,13,13,0,0,13
OX18,0,21,,30,104,0,0,10,10,0,2,3
OX2,0,11,,100,59,0,0,55,55,7,0,116
OX20,0,13,,59,144,32,0,31,31,25,0,0
OX25,1,20,,0,73,0,0,0,0,0,0,77
OX26,0,4,,41,38,9,0,50,50,0,0,0
OX27,0,3,,0,50,0,0,0,0,0,0,0
OX28,2,17,,15,34,0,0,12,12,6,1,7
OX29,4,4,,10,59,0,0,25,25,0,0,10
OX3,3,12,,89,155,6,0,58,58,44,0,0
OX33,1,17,,105,69,0,0,29,29,11,0,13
OX39,0,22,,114,212,0,0,23,23,0,0,12
OX4,1,6,,20,19,0,0,33,33,0,0,0
OX44,1,2,,0,0,0,0,0,0,0,0,0
OX49,0,26,,192,170,0,15,23,23,0,0,32
OX5,1,6,,0,31,0,0,0,0,0,0,24
OX7,1,4,,0,10,0,0,0,0,0,0,0
OX9,0,12,,123,72,0,0,42,42,0,0,23
PE1,0,17,,63,118,0,0,35,35,0,0,28
PE10,0,5,,18,77,18,0,20,20,0,0,0
PE11,2,22,,22,150,0,0,32,32,3,8,209
PE12,2,10,,119,272,36,0,30,30,0,0,100
PE13,2,24,,97,256,0,7,25,25,0,0,350
PE14,2,21,,74,199,0,40,24,24,12,27,94
PE15,3,22,,31,106,0,0,27,27,0,0,163
PE16,1,3,Yes,0,0,0,0,67,67,0,0,30
PE19,3,17,,42,95,0,0,18,18,0,0,43
PE2,5,9,,139,247,0,0,67,67,0,0,222
PE20,0,21,,219,477,0,0,62,62,15,9,553
PE21,1,20,,171,181,0,0,55,55,0,8,225
PE22,1,5,,0,41,0,0,0,0,0,0,0
PE23,0,19,,40,129,0,0,5,5,38,0,290
PE24,1,12,,83,148,0,0,33,33,0,0,174
PE25,1,8,,0,12,0,0,0,0,0,0,53
PE26,0,4,,55,58,0,0,25,25,0,0,57
PE27,1,9,,106,128,0,0,33,33,0,0,9
PE28,4,6,,90,73,0,0,67,67,0,0,80
PE29,1,6,,72,257,0,0,50,50,0,24,368
PE3,0,22,,150,449,0,0,64,64,0,0,584
PE30,1,21,Yes,0,42,0,0,5,5,0,0,0
PE31,0,14,,75,111,0,0,36,36,0,0,243
PE32,0,14,,34,154,0,0,29,29,0,0,149
PE33,1,12,,9,18,0,0,8,8,0,0,0
PE34,0,12,,81,26,22,0,33,33,0,0,0
PE36,0,9,,18,0,0,0,11,11,0,0,0
PE37,1,12,,32,35,0,0,25,25,0,0,0
PE38,0,3,,0,0,0,0,0,0,0,0,0
PE4,2,6,,0,0,0,0,0,0,0,0,0
PE5,0,7,,12,21,0,0,43,43,0,0,0
PE6,3,10,,29,251,0,0,40,40,12,0,292
PE7,4,1,,22,27,0,0,100,100,0,0,25
PE8,1,17,,219,446,0,0,47,47,0,0,417
PE9,3,18,,74,649,13,0,56,56,0,0,478
PL1,1,11,,62,120,0,0,55,55,0,0,49
PL10,0,15,,46,228,0,0,27,27,7,10,224
PL11,0,14,,258,150,0,135,50,50,0,0,0
PL12,1,2,,0,11,0,12,50,50,0,0,0
PL13,1,5,,31,51,0,18,60,60,34,0,0
PL14,2,10,,186,157,0,36,80,80,0,0,0
PL15,0,5,,113,25,0,57,60,60,0,0,0
PL16,0,16,,241,55,16,145,75,75,0,0,0
PL17,0,17,,178,86,0,162,76,76,44,0,0
PL18,0,1,,0,12,0,0,0,0,0,0,11
PL19,1,4,,78,41,0,12,50,50,0,0,0
PL2,2,3,,24,27,0,36,67,67,0,0,0
PL20,2,11,,136,114,0,29,55,55,0,0,122
PL21,0,11,,113,117,0,109,36,36,0,0,0
PL22,1,7,,18,147,0,11,71,71,0,0,147
PL23,0,10,,60,200,0,9,50,50,0,0,104
PL24,0,3,,0,14,0,0,0,0,0,0,0
PL25,1,3,,0,10,0,0,0,0,0,0,0
PL26,1,4,,137,49,0,0,25,25,0,0,0
PL27,3,9,,267,137,0,0,33,33,0,0,0
PL28,1,12,,127,206,0,34,25,25,0,0,0
PL29,0,6,,122,241,0,3,50,50,46,0,0
PL3,1,2,,46,65,0,20,50,50,0,0,0
PL30,0,1,,11,0,0,0,100,100,0,0,0
PL31,0,8,,162,185,0,103,50,50,49,0,0
PL32,0,13,,126,15,0,68,38,38,0,0,0
PL33,0,7,,36,72,0,0,14,14,0,0,0
PL34,0,3,,20,0,0,10,33,33,0,0,0
PL35,0,1,,0,0,0,0,0,0,0,0,0
PL4,0,1,,9,0,0,10,100,100,0,0,0
PL5,0,1,,10,0,0,0,100,100,0,0,0
PL6,6,10,,54,182,117,77,30,30,81,0,0
PL7,1,22,,374,406,29,173,59,59,44,0,0
PL8,0,19,,359,193,0,189,37,37,0,0,58
PL9,5,13,,128,195,5,202,69,69,18,0,44
PO1,0,11,Yes,0,158,0,0,27,27,0,0,108
PO10,0,4,,59,62,0,0,100,100,0,0,66
PO11,1,10,,306,222,0,177,90,90,121,0,15
PO12,4,8,,59,72,0,0,38,38,0,0,120
PO13,1,5,,36,70,0,0,40,40,0,0,0
PO14,0,16,,200,364,0,0,38,38,0,0,0
PO15,0,16,,124,332,0,0,38,38,0,0,0
PO16,1,19,,140,357,65,0,32,32,60,66,26
PO17,0,6,,46,138,0,0,50,50,0,0,18
PO18,3,11,,252,342,0,0,45,45,0,0,0
PO19,1,3,,27,0,0,0,33,33,0,0,25
PO2,0,12,,35,49,0,0,17,17,0,0,72
PO20,1,15,,66,0,0,0,13,13,0,0,34
PO21,2,16,,69,269,0,0,38,38,0,0,294
PO22,2,14,,14,12,0,0,7,7,0,0,48
PO3,0,10,,105,166,0,0,20,20,0,0,113
PO30,1,7,,90,0,0,0,14,14,0,0,0
PO31,1,6,,72,102,0,0,17,17,4,22,158
PO32,1,17,,0,126,0,0,0,0,0,0,51
PO33,1,5,,0,29,0,0,0,0,0,0,52
PO34,0,3,,0,41,0,0,0,0,0,0,11
PO35,0,10,,0,148,0,0,0,0,5,0,47
PO36,0,1,,0,0,0,0,0,0,0,0,0
PO37,0,1,,0,40,0,0,0,0,0,0,0
PO38,0,4,,0,10,0,0,0,0,0,0,59
PO39,0,2,,0,22,0,0,0,0,0,0,0
PO4,1,6,,0,9,0,0,0,0,0,0,30
PO40,0,1,,0,0,0,0,0,0,0,0,0
PO41,0,12,,102,71,0,0,33,33,0,0,0
PO5,0,1,,0,0,0,0,0,0,0,0,0
PO6,0,13,Yes,0,323,0,0,15,15,18,0,304
PO7,0,1,,0,0,0,0,0,0,0,0,0
PO8,0,8,,40,135,0,0,50,50,0,0,197
PO9,0,18,,122,373,0,0,39,39,0,0,205
PR1,3,14,,139,185,0,0,14,14,0,8,159
PR2,2,20,,39,126,0,0,15,15,0,0,189
PR25,6,38,,43,518,0,15,34,34,36,0,410
PR26,2,37,,196,580,0,30,38,38,30,0,638
PR3,2,18,,29,207,0,98,44,44,60,0,0
PR4,8,7,,97,188,0,16,71,71,0,0,0
PR5,3,37,,157,457,30,54,24,24,78,30,450
PR6,7,40,,186,564,0,30,38,38,36,0,351
PR7,6,23,,129,444,0,56,57,57,36,0,0
PR8,0,21,,335,454,0,140,67,67,0,0,24
PR9,1,34,,434,721,12,134,50,50,62,0,72
RG1,2,16,,28,264,0,0,13,13,56,0,0
RG10,0,15,,94,125,0,0,27,27,0,0,0
RG12,0,19,,0,145,0,3,11,11,12,41,187
RG14,3,20,Yes,0,192,0,0,20,20,0,0,261
RG17,0,11,,201,81,24,0,64,64,0,0,115
RG18,0,11,Yes,0,148,0,0,27,27,0,0,223
RG19,1,7,Yes,0,89,0,0,29,29,0,0,60
RG2,0,17,,20,319,0,0,12,12,0,0,210
RG20,0,8,,91,46,0,0,38,38,0,0,98
RG21,0,23,,30,238,0,0,17,17,145,78,436
RG22,1,22,,96,232,0,0,32,32,12,12,182
RG23,0,7,Yes,0,57,0,0,14,14,0,0,82
RG24,0,15,,174,160,0,0,40,40,5,0,173
RG25,0,16,,132,289,0,0,19,19,0,0,255
RG26,0,13,,161,333,0,0,23,23,0,0,287
RG27,3,4,,33,64,0,0,100,100,0,0,111
RG28,0,9,,101,145,0,0,44,44,0,0,137
RG29,0,11,,54,134,0,0,27,27,0,0,98
RG30,3,2,,0,0,0,0,0,0,0,0,58
RG31,0,15,Yes,0,168,0,0,20,20,10,8,271
RG4,7,5,,37,50,0,0,40,40,0,0,79
RG40,2,21,,170,267,24,30,29,29,15,40,421
RG41,0,21,,179,435,111,10,33,33,105,96,466
RG42,0,21,,179,251,9,4,29,29,0,0,121
RG45,1,14,,99,327,0,0,36,36,28,0,393
RG5,0,13,,29,114,0,0,15,15,0,0,130
RG6,3,8,,11,7,0,0,13,13,0,0,45
RG7,2,12,,11,158,5,0,42,42,0,0,234
RG8,3,8,,101,197,0,0,50,50,0,0,208
RG9,0,26,,87,210,12,0,35,35,18,15,376
RH1,2,13,,50,110,0,0,23,23,24,0,196
RH10,5,13,,17,163,0,0,8,8,0,0,99
RH11,0,18,,34,159,0,0,22,22,0,0,311
RH12,2,24,,319,162,0,0,25,25,0,0,54
RH13,4,18,,96,132,0,0,17,17,0,0,82
RH14,2,22,,128,25,0,0,14,14,0,0,118
RH15,1,23,,100,160,0,0,17,17,0,0,111
RH16,0,6,,0,0,0,0,0,0,0,0,0
RH17,1,12,,235,140,0,0,33,33,0,0,43
RH18,0,12,,0,118,0,0,0,0,0,0,34
RH19,0,18,,56,116,0,0,11,11,0,0,61
RH2,2,3,,0,136,0,0,0,0,0,0,39
RH20,1,15,,20,29,0,0,13,13,0,0,25
RH3,0,1,Yes,0,0,0,0,100,100,0,0,60
RH4,2,15,,0,19,0,0,0,0,0,0,9
RH5,2,11,,18,0,0,0,9,9,0,0,0
RH6,1,9,,150,253,0,0,33,33,0,0,276
RH7,1,4,Yes,0,103,0,0,75,75,0,0,193
RH8,2,10,,0,0,0,0,0,0,0,0,0
RH9,0,12,,71,150,0,0,25,25,0,0,122
RM1,0,9,,33,155,0,0,33,33,0,0,106
RM10,0,2,,20,34,0,0,50,50,0,0,49
RM11,3,13,,0,0,0,0,0,0,0,0,0
RM12,1,13,,0,0,0,0,0,0,0,0,0
RM13,0,11,,0,0,0,0,0,0,0,0,0
RM14,2,12,,0,0,0,0,0,0,0,0,0
RM15,2,11,,0,0,0,0,0,0,0,0,0
RM16,2,13,,0,0,0,0,0,0,0,0,0
RM17,0,11,,51,89,0,0,45,45,0,0,109
RM18,0,16,,144,291,0,43,50,50,0,0,531
RM19,0,2,Yes,0,14,0,0,50,50,0,0,7
RM2,0,8,,92,47,0,3,50,50,0,0,76
RM20,0,1,Yes,0,58,0,0,100,100,0,0,21
RM3,0,5,,7,80,0,34,80,80,0,0,94
RM4,0,6,,0,0,0,0,0,0,0,0,0
RM5,2,14,,0,0,0,0,0,0,0,0,0
RM6,0,3,,0,0,0,0,0,0,0,0,0
RM7,0,3,,0,0,0,0,0,0,0,0,0
RM8,5,13,,0,0,0,0,0,0,0,0,0
RM9,1,7,,0,0,0,0,0,0,0,0,0
S1,0,13,,0,0,0,0,0,0,0,0,0
S10,2,14,,0,0,0,0,0,0,0,0,0
S11,2,1,,0,0,0,0,0,0,0,0,0
S12,2,15,,206,274,0,0,20,20,0,5,359
S13,1,10,,128,115,0,10,30,30,0,1,123
S14,0,10,,0,203,0,0,0,0,0,0,57
