Node,MSP,Number of sites,"Local Sites (Supercentre SC, Superstore SS, Supermarket SM, Asda Living AL, Depots)",AOTM(s),PFS(s),Cafe(s),Pharmacy(s),Post Office(s),Average basket spend per customer,Average customers per week,Average transactions per week,Local ASDA Rewards Users,Kids Eat for 1 meals sold (since July 2022),Winter Warmer meals sold (since November 2022),Local colleagues,Apprentices supported (since 2017),Value of ASDA Foundation Grants to grassroot groups (since 2020),Number of ASDA Foundation Grants distributed to local groups (since 2020),Fight Hunger meals via in-store donations (since 2021),Store space donations (since 2020),Colleague volunteering days (since 2020),Amount raised for charities (since 2020),Value of goods donated (since 2020),Meals donated via back of house (since 2018),Full-time to Part-time split,Colleagues serving 1 year +,Colleagues serving 5 years +,Colleagues serving 10 years +,Colleagues serving 20 years +,Community Champion,Community Champion Email (@asda.co.uk),Green Token Giving Groups (Q1 2023) 1,Green Token Giving Groups (Q1 2023) 2,Green Token Giving Groups (Q1 2023) 3
Coatbridge and Chryston,Fulton MacGregor,1,Coatbridge,,Coatbridge,,,,31.04,,,,,,194,9,20453,38,,,,24147,,,24% / 76%,80,56,50,16,Ann Binks,Community_Coatbridge,Bear Necessities,Dunbeth Fc 2008,Coatbridge Football Club
Cowdenbeath,Annabelle Ewing,1,Dalgety Bay,,,,,,31.04,10700,19400,26,,,122,15,14406,25,20408,165,41,6726,7194,11530,32% / 68%,84,70,45,3,Alana Brown,Community_DalgetyBay,Coastwatch West Fife,Inverkeithing Community Council,That Place In The Bay
Cumbernauld and Kilsyth,Jamie Hepburn,1,Cumbernauld,,Cumbernauld,,Cumbernauld,,31.04,18800,39000,25,,,353,32,10263,17,20168,25,40,3328,5978,8342,33% / 67%,87,54,43,13,Lynne  Morrison,Community_Cumbernauld,Ravenswood Primary Parents Assoc,Dunipace Fc,Cumbernauld Senior Citizens Wednesday Club
Cunninghame North,Kenneth Gibson,1,Ardrossan,,Ardrossan,Ardrossan,,,31.04,10800,22600,22,5311,1994,136,10,5950,5,3511,,,31,,11979,23% / 77%,85,51,39,2,,,,,
Cunninghame South,Ruth Maguire,1,Irvine,,,,,,31.04,13900,28300,20,7705,2823,220,13,24629,41,12366,51,4,5457,7053,61132,26% / 74%,90,50,44,22,Ruby Morgan,Community_Irvine,Springside Primary Parent Council,Elderbank Parent Teacher Association,Troon Thistle Yfc 2007
Dumbarton,Jackie Baillie,1,Dumbarton,,,Dumbarton,,,31.04,19100,35900,23,,,254,21,13410,26,1007,29,47,3503,5220,22565,35% / 65%,84,58,44,11,Anne-Marie Oshea,Community_Dumbarton,Jamestown Juniors Afc,Dumbarton United 2015s,Bellsmyre Development Trust
Dundee City East,Shona Robison,1,Dundee Milton,,Dundee Milton,,,,31.04,22000,43000,22,,,345,8,6987,10,23600,14,15,349,7399,29653,32% / 68%,78,47,40,17,Yvanne Mclaren,Community_Milton,,,
Dundee City West,Joe FitzPatrick,2,Dundee Kirkton; West Dundee,,Dundee Kirkton; West Dundee,,,Dundee Kirkton,31.04,23300,47300,22,,,368,22,41663,81,18246,61,319,11113,14714,37964,33% / 67%,77,50,28,11,Samantha Will; Karen Cunningham,Community_Kirkton; Community_WestDundee,Butterfly Group; Camperdown Ps Parent Council,Fairmuir Tangerines 2008; The Leanne Fund,Celtic Boys 2014; Dundee Sea Cadets
Dunfermline,Shirley-Anne Somerville,2,Dunfermline; St Leonards,,Dunfermline,,Dunfermline,,31.04,34700,64300,27,,,434,21,33909,65,51951,582,153,9897,14436,66456,40% / 60%,89,75,65,29,Barbara Inglis; Julie Mckell,Community_Dunfermline; Community_StLeonards,Dunfermline Slot Car Club; Brucefield Tenants And Residents Association,Calaiswood School Parent Council; Diamond Association,The Sunshine Box; Dunfermline British Legion
East Lothian,Paul McLennan,2,Dunbar; Tranent,,Dunbar,,,,31.04,19600,41100,18,,,204,35,26185,44,6400,,,,,19624,33% / 67%,85,43,31,6,Annette Newall,,Sea Cadets Dunbar,Countess After School Club,1st Bellhaven Brownies
Eastwood,Jackson Carlaw,2,Barrhead; Newton Mearns,,Barrhead,,,,31.04,25000,49200,20,,,301,30,24132,39,24012,,,,,21853,21% / 79%,80,49,26,12,Scott Campbell,Community_NewtonMearns,Movies To Musicals (Glasgow Philharmonica),121st Glasgow Scouts,5Th Giffnock Brownie Unit
Edinburgh Eastern,Ash Regan,1,Edinburgh,,Edinburgh,Edinburgh,Edinburgh,Edinburgh,31.04,24000,42100,19,3775,1044,349,34,4195,9,30953,1,25,2108,5397,30984,47% / 53%,81,52,40,18,Cameron Marshall,Community_Edinburgh,,,
Edinburgh Northern and Leith,Ben Macpherson,1,Leith,,Leith,Leith,,,31.04,14100,26200,18,,,208,8,27789,43,28499,83,22,6485,7137,30009,33% / 67%,66,38,24,1,Sharon Gray,Community_Leith,Circle,She Scotland,Dr Bells Family Centre
Edinburgh Southern,Daniel Johnson,1,Chesser,,Chesser,Chesser,,Chesser,31.04,18100,31500,15,,,288,42,6800,10,7847,16,15,2989,2926,6547,39% / 61%,74,43,32,8,Laura Joyce,Community_Chesser,Wester Hailes Youth Agency,Forrester Rugby Club - Mini Section - P1-P7,Tcan ( Toll Cross Community Action Network)
Falkirk East,Michelle Thomson,3,Stenhousemuir; Grangemouth; Grangemouth Depot,,,,,,31.04,,,,,,944,,13922,25,,,,,,,55% / 45%,82,55,39,8,Hazel Culbert; Charley Morrison,Community_Stenhousemuir; Community_Grangemouth,Klsb Foodbank; The Scottish Railway Preservation Society,Falkirk Otters A.S.C.; Grangemouth Childrens Day,Maggies Centre Forth Valley; Grangemouth Old Peoples Welfare
Falkirk West,Michael Matheson,2,Falkirk; Falkirk Depot,,,,,,31.04,,,,,,686,,32626,52,,,,,,,61% / 39%,91,69,56,26,Margaret Bradie,Community_Falkirk,St. James Research Centre,1st Falkirk Boys Brigade Company,Ettrick Dochart Community Hall
Glasgow Maryhill and Springburn,Bob Doris,1,Maryhill,,,,,Maryhill,31.04,8400,23900,25,,,149,13,5140,11,2601,7,19,1979,4896,19516,32% / 68%,79,59,50,24,Ryan Rooney,Community_Maryhill,Caldercuilt Primary School Parent Council,Mainly Music Ruchill,152nd Boys Brigade - Maryhill Parish Church
Glasgow Pollok,Humza Yousaf,1,Govan,,Govan,Govan,,,31.04,23100,42200,19,8976,1992,326,19,27915,45,18265,38,116,8162,7055,23741,39% / 61%,87,61,48,14,Wilma Mchardy,Community_Govan,Linthouse Housing Assocation Limited,Nil By Mouth,Imo Progressive Union
Glasgow Provan,Ivan McKee,2,Glasgow Fort Living; Robroyston,,,,,,31.04,27000,49100,23,,,384,,20206,38,,,,,,,28% / 72%,80,51,39,13,Jade Hart,Community_Robroyston,Glasgow Ne Foodbank,St Philomenas Rc Church,Friends Of Gartcosh
Glasgow Shettleston,John Mason,1,Parkhead,,Parkhead,Parkhead,Parkhead,,31.04,16500,37600,21,6802,2116,289,13,15176,30,18499,30,63,5263,6613,15709,33% / 67%,81,55,45,19,John (Toby) Flannigan,Community_ParkheadForge,,,
Glasgow Southside,Nicola Sturgeon,1,Toryglen,,Toryglen,Toryglen,,,31.04,22400,44100,21,,,340,19,37460,74,15335,34,172,9089,7441,42204,32% / 68%,86,60,54,23,Elizabeth Arbuckle,Community_Toryglen,Kings Croft Community Hall,Castlemilk Cooks Up Memories,Fare Scotland Ltd Restricted
"Hamilton, Larkhall and Stonehouse",Christina McKelvie,2,Hamilton; Larkhall,,Larkhall,Larkhall,,,31.04,33400,61300,23,,,450,19,34500,18,53059,,,13975,,71842,37% / 63%,82,54,27,11,Gillian Summers,Community_Hamilton,Townhouse Townies,Birkenshaw Welfare Guild,Blameless
Inverness and Nairn,Fergus Ewing,1,Inverness,,Inverness,Inverness,,,31.04,14000,25200,18,3960,1216,220,34,,,13887,37,6,3477,3507,31061,39% / 61%,74,31,4,1,Lynn Stewart,Community_Inverness,,,
Kilmarnock and Irvine Valley,Willie Coffey,1,Kilmarnock,,Kilmarnock,,Kilmarnock,,31.04,17500,31400,28,,,188,10,20874,38,4133,28,15,7095,6679,28539,28% / 72%,81,56,45,22,Teresa Bruce,Community_Kilmarnock,Rankinston Community Food Larder,Lochlans Legacy,Crosshouse Cfc Girls
Kirkcaldy,David Torrance,1,Kirkcaldy,,Kirkcaldy,,Kirkcaldy,,31.04,19100,37400,21,,,279,5,20679,41,6685,249,142,6304,7113,49881,49% / 51%,84,62,45,21,Jean Ritchie,Community_Kirkcaldy,Viewforth High School Parent Council,Sinclairtown Primary Parent Council,Nourish Support Centre
Linlithgow,Fiona Hyslop,1,Armadale,,Armadale,,,,31.04,8900,17100,26,,,109,17,,,,,,813,,32346,22% / 78%,73,37,6,2,,,,,
Mid Fife and Glenrothes,Jenny Gilruth,1,Glenrothes,,Glenrothes,Glenrothes,,,31.04,16900,29800,22,3845,1790,242,21,29494,64,26513,32,39,5761,6925,54555,33% / 67%,85,50,31,1,Deborah  Wilson,Community_Glenrothes,Carea Community Hub,Markinch After School Kids Club,Brighter Futures Health Hub
Midlothian North and Musselburgh,Colin Beattie,1,Straiton,,Straiton,Straiton,,,31.04,15200,26400,19,2235,976,208,23,13303,28,4999,27,,3797,5980,24004,38% / 62%,75,34,16,0,Luke Price,Community_Straiton,,,
"Midlothian South, Tweeddale and Lauderdale",Christine Grahame,1,Galashiels,,Galashiels,Galashiels,,,31.04,12900,26100,22,3612,1640,205,23,19396,38,9069,87,31,8321,6794,44124,40% / 60%,90,46,33,1,Nola Milne,Community_Galashiels,Clovenfords Primary School Parent Council,Abundant Borders,Lavender Touch
Moray,Richard Lochhead,1,Elgin,,Elgin,,,,31.04,18000,33900,30,,,330,34,23322,42,11048,46,102,8599,7542,53703,25% / 75%,84,47,33,14,Irene Geddes,Community_Elgin,5th New Elgin Brownies,The Lossie 2-3 Group,Moray Food Plus
Motherwell and Wishaw,Clare Adamson,2,Newmains; Motherwell,,Newmains,,,,31.04,29300,60300,26,,,342,46,46618,82,19377,58,145,12187,14253,98493,31% / 69%,88,61,47,13,Kelly Alexander; Bernadette Hart,Community_Newmains; Community_Motherwell,Wishaw Academy Primary School Pta; 5Th Motherwell Girls Brigade,Newmains Senior Citizens Lunch Club; Reel Time Music Project,2nd Wishaw Girl Guides; North Lanarkshire Disability Forum
Paisley,George Adam,1,Linwood,,Linwood,,Linwood,,31.04,27000,47500,21,,,387,19,21518,35,23428,21,105,3448,7546,13217,33% / 67%,82,52,42,15,Claire Mackie,Community_Linwood,Brick Lane Music Academy Cic,Ramh,The Star Project
Perthshire North,John Swinney,1,Perth,,Perth,,Perth,,31.04,16100,32300,20,,,240,8,18266,36,12201,29,45,3359,7623,18819,33% / 67%,84,58,47,17,Anna Jellye,Community_Perth,Perth Grammar Parent Council,Remake Scotland,Logierait Parent Council
Rutherglen,Clare Haughey,1,Blantyre,,Blantyre,Blantyre,,,31.04,14900,33800,22,27001,787,263,21,28851,48,34647,24,97,13643,7640,16421,26% / 74%,71,44,39,15,Mary Sutherland,Community_Blantyre,Ekrr Youth 2016,Pals Plus,Auchinraith Primary School Parent Council
Strathkelvin and Bearsden,Rona MacKay,2,Bearsden; Bishopbriggs,,Bishopbriggs; Bearsden,Bishopbriggs; Bearsden,,,31.04,27200,48300,25,,,357,44,34547,62,79498,83,95,6390,9587,40564,26% / 74%,83,52,39,12,Lorraine Macdonald; Lauren Newitt,Community_Bishopbriggs; Community_Bearsden,Walk Run Cycle In And Around East Dunbartonshire; Milngavie Choir,Thomas Muir Primary School Pta; Westerton United 2010 Football Club,Rotary Club Kirkintilloch; The Way Ahead Group
