Row Labels,Count of No delivery due to covid,Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19),Sum of L3 places attended - 2019/20,Sum of Number of schools,Sum of Level 3 Places Attended (2020/21),Sum of % schools that booked Bikeability,Sum of Plus Places Attended (2020/21),Sum of Levels 1 and 2 places attended (2020/21)
MK15,,0,0,0,0,1,0,0,0,0
MK16,,133,7,121,5,8,0,13,4,60
MK17,,208,0,176,27,16,25,25,10,92
MK18,,141,0,408,12,21,0,29,0,41
MK2,,0,0,23,0,7,0,14,0,24
MK3,,183,6,136,4,14,0,14,0,37
MK4,,214,0,86,11,6,0,0,0,0
MK40,,51,0,141,0,13,0,38,0,115
MK41,,417,29,373,56,18,0,39,0,65
MK42,,239,17,198,11,25,0,40,0,91
MK43,,200,12,229,12,20,0,30,5,61
MK44,,64,0,135,0,14,0,64,15,162
MK45,,333,0,0,0,23,0,52,35,169
MK46,,31,0,35,0,3,0,0,0,0
MK5,,133,0,139,3,8,0,13,2,30
MK7,,47,0,41,0,6,0,0,0,0
MK8,,44,8,41,0,8,0,38,0,39
MK9,,0,0,0,0,1,0,0,0,0
N1,,0,0,0,0,38,0,0,0,0
N10,,0,0,0,0,13,0,0,0,0
N11,,0,0,0,0,14,0,0,0,0
N12,,0,0,0,0,13,0,0,0,0
N13,,0,0,0,0,7,0,0,0,0
N14,,0,0,0,0,17,0,0,0,0
N15,,0,0,0,0,18,0,0,0,0
N16,,0,0,0,0,42,0,0,0,0
N17,,0,0,0,0,27,0,0,0,0
N18,,0,0,0,0,7,0,0,0,0
N19,,0,0,0,0,10,0,0,0,0
N1C,,0,0,0,0,3,0,0,0,0
N2,,0,0,0,0,8,0,0,0,0
N20,,0,0,0,0,10,0,0,0,0
N21,,0,0,0,0,9,0,0,0,0
N22,,0,0,0,0,17,0,0,0,0
N3,,0,0,0,0,11,0,0,0,0
N4,,0,0,0,0,13,0,0,0,0
N5,,0,0,0,0,9,0,0,0,0
N6,,0,0,0,0,8,0,0,0,0
N7,,0,0,0,0,14,0,0,0,0
N8,,0,0,0,0,16,0,0,0,0
N9,,0,0,0,0,18,0,0,0,0
NE1,,0,0,0,0,1,0,0,0,0
NE10,,543,0,505,0,18,0,44,0,126
NE11,,82,0,130,28,6,0,0,0,0
NE12,,201,0,270,0,16,0,25,0,124
NE15,,308,0,184,0,18,0,28,20,0
NE16,,398,10,310,0,11,0,45,0,162
NE17,,0,0,0,0,1,0,0,0,0
NE19,,0,0,0,0,1,0,0,0,0
NE20,,0,0,0,0,6,0,0,0,0
NE25,,453,0,423,37,17,0,29,0,134
NE27,,47,0,0,0,5,0,20,0,19
NE28,,288,0,300,18,17,0,41,0,167
NE29,,324,0,281,36,13,0,54,0,129
NE3,,367,9,627,11,23,0,52,30,73
NE30,,143,0,118,0,9,0,33,0,78
NE31,,307,0,351,0,10,0,20,0,101
NE32,,342,0,420,0,14,0,43,0,189
NE33,,340,0,290,0,8,0,38,0,131
NE34,,754,0,864,0,19,0,32,0,284
NE35,,51,0,69,0,3,0,33,0,29
NE36,,119,0,230,0,4,0,25,0,55
NE38,,191,0,159,112,16,0,38,5,23
NE39,,118,0,130,0,4,0,25,0,34
NE40,,224,0,218,0,7,0,43,0,60
NE41,,0,0,0,0,1,0,0,0,0
NE42,,17,0,9,0,8,0,13,0,56
NE43,,0,0,0,0,3,0,0,0,0
NE44,,0,0,0,0,1,0,0,0,0
NE45,,57,0,50,0,2,0,0,0,0
NE46,,23,0,0,0,10,7,10,0,31
NE47,,31,0,27,0,8,0,0,0,0
NE48,,12,9,44,0,6,0,0,0,0
NE49,,0,0,0,0,1,0,100,0,17
NE5,,401,0,460,0,17,0,18,0,6
NE6,,414,0,360,0,17,0,29,40,0
NE61,,23,0,115,0,20,0,10,101,0
NE62,,53,0,129,0,5,0,60,0,82
NE63,,34,0,133,0,10,0,10,0,23
NE65,,51,0,21,0,12,0,0,0,0
NE66,,93,0,144,9,11,0,0,0,0
NE67,,0,0,0,0,1,0,0,0,0
NE68,,0,0,11,0,1,0,0,0,0
NE70,,0,0,0,0,1,0,0,0,0
NE8,,164,0,182,0,18,0,11,0,82
NE9,,457,0,363,0,17,0,35,0,246
NG10,,363,0,0,53,19,33,32,0,219
NG11,,127,0,34,0,14,0,29,12,60
NG12,,270,0,270,0,17,12,29,0,123
NG13,,246,3,130,0,12,0,33,0,132
NG14,,175,0,61,0,10,0,40,48,108
NG15,,117,6,216,4,16,6,44,24,168
NG16,,237,4,162,0,33,0,45,303,420
NG17,,357,0,128,0,30,0,13,0,162
NG18,,223,0,175,0,15,12,33,120,150
NG19,,361,0,213,0,27,12,22,48,279
NG2,,346,29,479,71,21,0,29,0,168
NG20,,63,10,46,0,17,0,29,84,41
NG21,,208,0,245,0,10,0,40,48,102
NG22,,265,0,118,0,16,36,25,60,81
NG24,,309,4,594,25,19,0,26,0,198
NG25,,75,0,126,24,4,0,25,0,60
NG3,,182,0,94,0,18,0,39,9,78
NG31,,133,26,223,49,27,21,26,0,151
NG32,,265,0,21,0,9,0,33,0,48
NG33,,24,0,12,0,9,0,33,0,38
NG34,,282,0,228,12,19,0,21,0,81
NG4,,202,0,217,11,19,0,26,24,216
NG5,,307,0,121,2,39,0,23,24,183
NG6,,114,0,187,0,14,0,36,30,0
NG9,,499,0,71,15,26,0,35,12,240
NN1,,35,0,19,7,11,0,36,0,71
NN10,,138,0,58,0,14,0,36,0,67
NN11,,271,0,239,0,19,0,68,0,146
NN12,,233,0,240,0,18,0,50,0,55
NN13,,112,0,208,0,12,0,42,0,73
NN14,,400,0,198,0,23,0,48,0,176
NN15,,308,0,292,0,20,0,20,0,47
NN16,,162,0,161,0,9,0,22,0,24
NN17,,82,15,58,0,13,9,23,14,22
NN18,,88,13,137,0,15,0,13,0,23
NN2,,41,0,46,0,19,0,21,0,40
NN29,,53,0,0,0,6,0,83,0,73
NN3,,348,22,401,27,31,0,23,0,70
NN4,,248,27,297,0,18,0,39,0,149
NN5,,255,0,131,12,14,0,43,0,66
NN6,,410,0,382,0,26,0,46,0,135
NN7,,361,0,508,0,22,0,55,0,105
NN8,,0,0,36,0,23,0,22,0,75
NN9,,134,0,92,8,11,0,55,9,19
NP16,,36,0,35,0,4,0,25,0,56
NP25,,8,0,9,0,1,0,100,0,4
NR1,,0,0,0,0,11,6,36,24,12
NR10,,13,0,0,0,13,0,15,0,24
NR12,,0,0,0,0,17,0,6,0,28
NR13,,0,0,0,0,13,0,8,0,24
NR14,,52,0,0,0,15,0,33,0,107
NR19,,102,0,0,0,11,0,27,25,96
NR2,,132,0,0,24,13,36,31,24,158
NR20,,12,0,0,0,9,0,33,0,60
NR21,,0,0,0,0,10,0,0,0,0
NR22,,0,0,0,0,1,0,0,0,0
NR23,,0,0,0,0,2,0,0,0,0
NR24,,0,0,0,0,1,36,100,0,0
NR25,,0,0,0,0,4,0,25,0,5
NR26,,0,0,0,0,3,0,0,0,0
NR27,,0,0,0,0,8,0,0,0,0
NR28,,0,0,0,0,5,0,0,0,0
NR29,,32,0,0,0,11,0,36,36,24
NR3,,0,0,0,0,10,0,0,0,0
NR30,,9,0,0,0,11,0,9,0,11
NR31,,107,0,0,0,20,0,35,0,9
NR32,,0,0,20,18,17,0,6,0,9
NR33,,99,0,101,0,14,0,21,0,10
NR34,,74,0,48,0,14,0,43,0,78
NR4,,229,0,0,72,11,0,36,48,121
NR5,,65,0,0,0,12,0,42,10,96
NR6,,0,0,0,0,12,0,17,30,48
NR8,,114,0,0,0,9,48,56,90,72
NR9,,143,0,0,42,12,14,50,0,111
NW1,,0,0,0,0,23,0,0,0,0
NW10,,0,0,0,0,32,0,0,0,0
NW11,,0,0,0,0,15,0,0,0,0
NW2,,0,0,0,0,20,0,0,0,0
NW3,,0,0,0,0,38,0,0,0,0
NW4,,0,0,0,0,18,0,0,0,0
NW5,,0,0,0,0,14,0,0,0,0
NW6,,0,0,0,0,28,0,0,0,0
NW7,,0,0,0,0,18,0,0,0,0
NW8,,0,0,0,0,13,0,0,0,0
NW9,,0,0,0,0,23,0,0,0,0
OL1,,297,0,291,0,12,0,42,48,210
OL10,,177,0,111,45,11,0,45,0,123
OL11,,513,0,343,0,17,0,18,100,44
OL12,,372,0,676,0,28,0,14,57,121
OL13,,312,12,268,64,10,0,30,0,120
OL15,,168,0,87,0,5,0,40,0,40
OL16,,266,0,221,20,17,0,29,27,214
OL2,,767,0,684,0,21,0,29,92,60
OL3,,346,0,331,0,9,0,44,76,97
OL4,,422,0,431,0,19,0,5,30,0
OL5,,122,0,139,0,6,0,50,0,75
OL6,,81,0,80,0,19,0,16,0,102
OL7,,107,0,29,0,6,0,33,0,85
OL8,,456,20,672,0,22,28,32,178,238
OL9,,946,35,1093,10,22,34,32,213,383
OX1,,87,0,100,0,11,0,0,0,0
OX10,,119,0,84,31,16,14,31,0,177
OX11,,214,0,120,132,18,100,44,0,233
OX12,,11,0,0,0,13,0,0,0,0
OX13,,38,0,0,0,9,0,11,0,27
OX14,,99,18,83,17,25,0,4,0,7
OX15,,90,0,13,0,15,0,13,0,57
OX16,,104,2,3,0,21,0,10,0,30
OX17,,59,0,116,7,11,0,55,0,100
OX18,,144,0,0,25,13,32,31,0,59
OX2,,73,0,77,0,20,0,0,0,0
OX20,,38,0,0,0,4,9,50,0,41
OX25,,50,0,0,0,3,0,0,0,0
OX26,,34,1,7,6,17,0,12,0,15
OX27,,59,0,10,0,4,0,25,0,10
OX28,,155,0,0,44,12,6,58,0,89
OX29,,69,0,13,11,17,0,29,0,105
OX3,,212,0,12,0,22,0,23,0,114
OX33,,19,0,0,0,6,0,33,0,20
OX39,,0,0,0,0,2,0,0,0,0
OX4,,170,0,32,0,26,0,23,15,192
OX44,,31,0,24,0,6,0,0,0,0
OX49,,10,0,0,0,4,0,0,0,0
OX5,,72,0,23,0,12,0,42,0,123
OX7,,118,0,28,0,17,0,35,0,63
OX9,,77,0,0,0,5,18,20,0,18
PE1,,150,8,209,3,22,0,32,0,22
PE10,,272,0,100,0,10,36,30,0,119
PE11,,256,0,350,0,24,0,25,7,97
PE12,,199,27,94,12,21,0,24,40,74
PE13,,106,0,163,0,22,0,27,0,31
PE14,,95,0,43,0,17,0,18,0,42
PE15,,247,0,222,0,9,0,67,0,139
PE19,,477,9,553,15,21,0,62,0,219
PE2,,181,8,225,0,20,0,55,0,171
PE20,,41,0,0,0,5,0,0,0,0
PE21,,129,0,290,38,19,0,5,0,40
PE22,,148,0,174,0,12,0,33,0,83
PE23,,12,0,53,0,8,0,0,0,0
PE24,,58,0,57,0,4,0,25,0,55
PE25,,128,0,9,0,9,0,33,0,106
PE26,,73,0,80,0,6,0,67,0,90
PE27,,257,24,368,0,6,0,50,0,72
PE28,,449,0,584,0,22,0,64,0,150
PE29,,111,0,243,0,14,0,36,0,75
PE3,,154,0,149,0,14,0,29,0,34
PE31,,18,0,0,0,12,0,8,0,9
PE32,,26,0,0,0,12,22,33,0,81
PE33,,0,0,0,0,9,0,11,0,18
PE34,,35,0,0,0,12,0,25,0,32
PE36,,0,0,0,0,3,0,0,0,0
PE37,,0,0,0,0,6,0,0,0,0
PE38,,21,0,0,0,7,0,43,0,12
PE4,,251,0,292,12,10,0,40,0,29
PE5,,27,0,25,0,1,0,100,0,22
PE6,,446,0,417,0,17,0,47,0,219
PE7,,649,0,478,0,18,13,56,0,74
PE8,,120,0,49,0,11,0,55,0,62
PE9,,228,10,224,7,15,0,27,0,46
PL1,,150,0,0,0,14,0,50,135,258
PL10,,11,0,0,0,2,0,50,12,0
PL11,,51,0,0,34,5,0,60,18,31
PL12,,157,0,0,0,10,0,80,36,186
PL13,,25,0,0,0,5,0,60,57,113
PL14,,55,0,0,0,16,16,75,145,241
PL15,,86,0,0,44,17,0,76,162,178
PL16,,12,0,11,0,1,0,0,0,0
PL17,,41,0,0,0,4,0,50,12,78
PL18,,27,0,0,0,3,0,67,36,24
PL19,,114,0,122,0,11,0,55,29,136
PL2,,117,0,0,0,11,0,36,109,113
PL20,,147,0,147,0,7,0,71,11,18
PL21,,200,0,104,0,10,0,50,9,60
PL22,,14,0,0,0,3,0,0,0,0
PL23,,10,0,0,0,3,0,0,0,0
PL24,,49,0,0,0,4,0,25,0,137
PL25,,137,0,0,0,9,0,33,0,267
PL26,,206,0,0,0,12,0,25,34,127
PL27,,241,0,0,46,6,0,50,3,122
PL28,,65,0,0,0,2,0,50,20,46
PL29,,0,0,0,0,1,0,100,0,11
PL3,,185,0,0,49,8,0,50,103,162
PL30,,15,0,0,0,13,0,38,68,126
PL31,,72,0,0,0,7,0,14,0,36
PL32,,0,0,0,0,3,0,33,10,20
PL33,,0,0,0,0,1,0,0,0,0
PL34,,0,0,0,0,1,0,100,10,9
PL35,,0,0,0,0,1,0,100,0,10
PL4,,182,0,0,81,10,117,30,77,54
PL5,,406,0,0,44,22,29,59,173,374
PL6,,193,0,58,0,19,0,37,189,359
PL7,,195,0,44,18,13,5,69,202,128
PL8,,62,0,66,0,4,0,100,0,59
PL9,,222,0,15,121,10,0,90,177,306
PO10,,72,0,120,0,8,0,38,0,59
PO11,,70,0,0,0,5,0,40,0,36
PO12,,364,0,0,0,16,0,38,0,200
PO13,,332,0,0,0,16,0,38,0,124
PO14,,357,66,26,60,19,65,32,0,140
PO15,,138,0,18,0,6,0,50,0,46
PO16,,342,0,0,0,11,0,45,0,252
PO17,,0,0,25,0,3,0,33,0,27
PO18,,49,0,72,0,12,0,17,0,35
PO19,,0,0,34,0,15,0,13,0,66
PO2,,269,0,294,0,16,0,38,0,69
PO20,,12,0,48,0,14,0,7,0,14
PO21,,166,0,113,0,10,0,20,0,105
PO22,,0,0,0,0,7,0,14,0,90
PO3,,102,22,158,4,6,0,17,0,72
PO30,,126,0,51,0,17,0,0,0,0
PO31,,29,0,52,0,5,0,0,0,0
PO32,,41,0,11,0,3,0,0,0,0
PO33,,148,0,47,5,10,0,0,0,0
PO34,,0,0,0,0,1,0,0,0,0
PO35,,40,0,0,0,1,0,0,0,0
PO36,,10,0,59,0,4,0,0,0,0
PO37,,22,0,0,0,2,0,0,0,0
PO38,,9,0,30,0,6,0,0,0,0
PO39,,0,0,0,0,1,0,0,0,0
PO4,,71,0,0,0,12,0,33,0,102
PO40,,0,0,0,0,1,0,0,0,0
PO41,,0,0,0,0,1,0,0,0,0
PO5,,135,0,197,0,8,0,50,0,40
PO7,,373,0,205,0,18,0,39,0,122
PO8,,185,8,159,0,14,0,14,0,139
PO9,,126,0,189,0,20,0,15,0,39
PR1,,518,0,410,36,38,0,34,15,43
PR2,,580,0,638,30,37,0,38,30,196
PR25,,207,0,0,60,18,0,44,98,29
PR26,,188,0,0,0,7,0,71,16,97
PR3,,457,30,450,78,37,30,24,54,157
PR4,,564,0,351,36,40,0,38,30,186
PR5,,444,0,0,36,23,0,57,56,129
PR6,,454,0,24,0,21,0,67,140,335
PR7,,721,0,72,62,34,12,50,134,434
PR8,,264,0,0,56,16,0,13,0,28
PR9,,125,0,0,0,15,0,27,0,94
RG1,,145,41,187,12,19,0,11,3,0
RG10,,81,0,115,0,11,24,64,0,201
RG12,,319,0,210,0,17,0,12,0,20
RG17,,46,0,98,0,8,0,38,0,91
RG2,,238,78,436,145,23,0,17,0,30
RG20,,232,12,182,12,22,0,32,0,96
RG21,,160,0,173,5,15,0,40,0,174
RG22,,289,0,255,0,16,0,19,0,132
RG24,,333,0,287,0,13,0,23,0,161
RG25,,64,0,111,0,4,0,100,0,33
RG26,,145,0,137,0,9,0,44,0,101
RG27,,134,0,98,0,11,0,27,0,54
RG28,,0,0,58,0,2,0,0,0,0
RG29,,50,0,79,0,5,0,40,0,37
RG30,,267,40,421,15,21,24,29,30,170
RG4,,435,96,466,105,21,111,33,10,179
RG40,,251,0,121,0,21,9,29,4,179
RG41,,327,0,393,28,14,0,36,0,99
RG42,,114,0,130,0,13,0,15,0,29
RG45,,7,0,45,0,8,0,13,0,11
RG5,,158,0,234,0,12,5,42,0,11
RG6,,197,0,208,0,8,0,50,0,101
RG7,,210,15,376,18,26,12,35,0,87
RG8,,110,0,196,24,13,0,23,0,50
RG9,,163,0,99,0,13,0,8,0,17
RH1,,159,0,311,0,18,0,22,0,34
RH10,,162,0,54,0,24,0,25,0,319
RH11,,132,0,82,0,18,0,17,0,96
RH12,,25,0,118,0,22,0,14,0,128
RH13,,160,0,111,0,23,0,17,0,100
RH14,,0,0,0,0,6,0,0,0,0
RH15,,140,0,43,0,12,0,33,0,235
RH16,,118,0,34,0,12,0,0,0,0
RH17,,116,0,61,0,18,0,11,0,56
RH18,,136,0,39,0,3,0,0,0,0
RH19,,29,0,25,0,15,0,13,0,20
RH2,,19,0,9,0,15,0,0,0,0
RH20,,0,0,0,0,11,0,9,0,18
RH4,,253,0,276,0,9,0,33,0,150
RH5,,0,0,0,0,10,0,0,0,0
RH6,,150,0,122,0,12,0,25,0,71
RH8,,155,0,106,0,9,0,33,0,33
RH9,,34,0,49,0,2,0,50,0,20
RM1,,0,0,0,0,13,0,0,0,0
RM10,,0,0,0,0,13,0,0,0,0
RM11,,0,0,0,0,11,0,0,0,0
RM12,,0,0,0,0,12,0,0,0,0
RM13,,0,0,0,0,11,0,0,0,0
RM14,,0,0,0,0,13,0,0,0,0
RM15,,89,0,109,0,11,0,45,0,51
RM16,,291,0,531,0,16,0,50,43,144
RM17,,47,0,76,0,8,0,50,3,92
RM18,,80,0,94,0,5,0,80,34,7
RM2,,0,0,0,0,6,0,0,0,0
RM3,,0,0,0,0,14,0,0,0,0
RM4,,0,0,0,0,3,0,0,0,0
RM5,,0,0,0,0,3,0,0,0,0
RM6,,0,0,0,0,13,0,0,0,0
RM7,,0,0,0,0,7,0,0,0,0
RM8,,0,0,0,0,13,0,0,0,0
RM9,,0,0,0,0,14,0,0,0,0
S1,,0,0,0,0,1,0,0,0,0
S10,,274,5,359,0,15,0,20,0,206
S11,,115,1,123,0,10,0,30,10,128
S12,,203,0,57,0,10,0,0,0,0
S13,,140,0,167,0,10,0,20,12,94
S14,,0,0,0,0,2,0,0,0,0
S17,,33,0,116,0,6,0,17,0,30
S18,,395,0,0,0,14,0,43,121,354
S2,,195,0,166,0,18,0,6,4,48
S20,,14,20,62,0,11,0,9,0,71
S21,,211,0,0,0,11,0,18,0,3
S25,,38,0,30,0,10,0,20,0,56
S26,,63,0,95,0,14,0,0,0,0
S3,,12,0,77,0,6,0,0,0,0
S32,,37,0,0,0,5,0,40,0,19
S33,,19,0,0,0,7,38,43,38,0
S35,,304,0,197,0,19,0,26,8,147
S36,,121,0,223,0,13,0,54,0,160
S4,,88,0,60,0,6,0,0,0,0
S40,,294,0,0,29,14,7,57,86,373
S41,,443,0,0,87,18,25,61,59,246
S42,,247,0,0,0,10,2,50,7,150
S43,,307,0,0,16,21,2,24,24,93
S44,,164,0,0,0,12,1,25,3,115
S45,,122,0,0,0,6,0,33,8,102
S5,,31,0,127,0,19,0,0,0,0
S6,,102,0,211,0,16,0,6,0,44
S60,,78,0,29,0,18,0,6,0,26
S61,,15,0,53,0,15,0,0,0,0
S62,,44,0,91,0,12,0,8,0,20
S63,,119,0,183,0,18,0,6,46,0
S64,,30,0,33,0,13,0,0,0,0
S66,,121,23,120,0,18,0,0,0,0
S7,,206,0,275,20,9,0,11,0,40
S70,,131,97,184,44,15,238,13,0,22
S71,,244,16,251,0,17,0,18,0,65
S72,,106,0,49,38,10,0,10,0,22
S73,,83,4,99,17,10,0,40,0,88
S74,,92,26,55,80,8,80,50,85,21
S75,,180,0,341,0,18,0,22,53,75
S8,,54,0,60,0,14,0,21,10,95
S80,,130,0,140,0,13,0,38,36,235
S81,,239,9,256,0,14,0,36,66,222
S9,,0,0,20,0,13,0,8,0,60
SE1,,0,0,0,0,27,0,0,0,0
SE10,,0,0,0,0,9,0,0,0,0
SE11,,0,0,0,0,14,0,0,0,0
SE12,,0,0,0,0,10,0,0,0,0
SE13,,0,0,0,0,8,0,0,0,0
SE14,,0,0,0,0,10,0,0,0,0
SE15,,0,0,0,0,28,0,0,0,0
SE16,,0,0,0,0,19,0,0,0,0
SE17,,0,0,0,0,12,0,0,0,0
SE18,,0,0,0,0,27,0,0,0,0
SE19,,0,0,0,0,12,0,0,0,0
SE2,,0,0,0,0,8,0,0,0,0
SE20,,0,0,0,0,6,0,0,0,0
SE21,,0,0,0,0,11,0,0,0,0
SE22,,0,0,0,0,11,0,0,0,0
SE23,,0,0,0,0,14,0,0,0,0
SE24,,0,0,0,0,8,0,0,0,0
SE25,,0,0,0,0,13,0,0,0,0
SE26,,0,0,0,0,10,0,0,0,0
SE27,,0,0,0,0,6,0,0,0,0
SE28,,0,0,0,0,11,0,0,0,0
SE3,,0,0,0,0,18,0,0,0,0
SE4,,0,0,0,0,9,0,0,0,0
SE5,,0,0,0,0,18,0,0,0,0
SE6,,0,0,0,0,18,0,0,0,0
SE7,,0,0,0,0,9,0,0,0,0
SE8,,0,0,0,0,12,0,0,0,0
SE9,,0,0,0,0,29,0,0,0,0
SG10,,27,0,28,0,2,0,0,0,0
SG13,,144,18,109,21,10,0,40,0,34
SG16,,100,0,0,0,4,0,75,0,37
SG17,,160,0,0,0,6,0,50,0,56
SG18,,99,6,130,0,12,0,33,0,39
SG19,,104,0,84,0,12,0,33,0,20
SG2,,138,23,223,13,22,0,14,0,14
SG3,,100,0,96,0,3,0,0,0,0
SG4,,358,0,251,0,19,0,42,0,97
SG5,,337,0,116,0,17,0,47,0,111
SG6,,92,0,146,0,17,0,24,0,37
SG7,,47,0,64,0,8,0,0,0,0
SG8,,294,0,332,30,22,0,41,0,118
SK1,,52,0,33,0,5,0,0,0,0
SK10,,556,72,500,81,22,46,36,46,327
SK11,,359,84,215,24,17,0,18,0,115
SK12,,233,0,224,0,9,0,11,0,110
SK13,,204,0,0,28,20,0,30,0,84
SK14,,334,0,240,0,22,0,14,0,74
SK15,,203,0,260,0,14,0,29,0,144
SK16,,53,0,48,0,11,0,18,0,77
SK17,,226,0,24,36,26,4,19,89,48
SK2,,91,0,107,0,11,0,9,0,29
SK22,,130,0,0,32,9,0,67,0,76
SK23,,166,0,0,0,10,0,20,29,23
SK3,,183,0,77,0,15,0,20,0,33
SK4,,296,0,257,0,19,0,32,0,146
SK5,,51,0,55,0,14,0,7,0,30
SK6,,373,0,283,0,21,0,19,0,118
SK7,,249,0,328,0,15,0,33,0,132
SK8,,598,0,562,0,32,60,13,0,48
SK9,,442,0,402,0,16,65,38,1,262
SL0,,47,0,52,0,4,0,25,0,23
SL1,,192,78,215,19,29,0,7,0,36
SL3,,133,45,138,9,21,0,0,0,0
SL4,,155,11,303,0,30,0,3,0,23
SL5,,111,0,72,0,15,0,0,0,0
SL6,,452,47,365,9,42,0,17,0,268
SL7,,130,0,137,0,12,0,17,0,24
SL8,,48,0,0,0,3,0,33,0,24
SL9,,50,0,63,0,10,0,30,0,96
SM1,,0,0,0,0,11,0,0,0,0
SM3,,0,0,0,0,9,0,0,0,0
SM4,,0,0,0,0,12,0,0,0,0
SM5,,0,0,0,0,18,0,0,0,0
SM6,,0,0,0,0,15,0,0,0,0
SM7,,264,0,211,0,8,0,25,0,38
SN1,,71,0,34,0,9,0,33,0,96
SN10,,116,0,76,0,20,0,20,0,107
SN12,,28,0,55,0,11,0,27,0,43
SN13,,144,0,113,0,7,0,86,0,18
SN14,,183,56,68,36,14,18,64,0,80
SN15,,161,0,116,0,17,0,71,0,73
SN16,,80,0,80,0,8,0,75,0,80
SN2,,38,0,53,0,15,0,7,0,23
SN25,,187,0,36,0,18,0,28,0,141
SN26,,0,0,0,0,1,0,0,0,0
SN3,,108,0,45,0,23,0,9,0,49
SN4,,132,0,62,0,12,0,17,0,12
SN5,,166,0,174,0,14,0,29,0,78
SN6,,84,9,87,19,14,18,29,0,120
SN7,,8,0,0,8,9,0,0,0,0
SN8,,167,0,202,0,15,0,80,0,169
SN9,,18,0,28,0,6,0,33,0,18
SO15,,261,0,0,0,14,0,0,0,0
SO16,,448,0,0,0,28,0,25,48,84
SO17,,101,0,0,0,5,0,20,0,36
SO19,,197,0,0,0,19,0,37,89,36
SO20,,34,0,0,0,5,0,40,39,0
SO21,,170,0,181,0,14,0,43,0,94
SO22,,55,0,253,0,11,0,45,0,190
SO23,,185,0,143,0,8,0,25,0,41
SO24,,41,0,34,0,6,0,33,0,33
SO30,,362,0,229,30,9,12,56,0,96
SO31,,372,0,105,0,15,0,20,0,90
SO32,,135,0,262,0,11,0,27,0,47
SO40,,380,0,348,0,19,0,21,0,143
SO41,,265,17,203,5,15,0,33,0,155
SO42,,42,0,44,0,2,0,50,0,28
SO43,,0,0,0,0,4,0,0,0,0
SO45,,409,0,202,0,16,0,25,0,158
SO50,,324,0,367,0,16,0,50,0,237
SO51,,293,0,0,4,15,2,67,121,292
SO52,,55,0,0,30,2,0,0,0,0
SO53,,225,35,257,25,14,0,50,0,153
SP1,,157,0,167,0,19,0,47,0,46
SP10,,424,0,0,0,19,0,21,120,129
SP11,,255,0,24,6,22,0,41,30,123
SP2,,75,0,86,0,13,0,23,0,53
SP3,,38,0,21,0,8,0,75,0,8
SP4,,169,0,151,0,20,0,55,0,54
SP5,,91,0,123,0,14,0,43,0,61
SP6,,24,0,86,0,9,0,56,0,93
SP7,,68,19,91,27,8,11,38,0,4
SP8,,43,6,59,9,7,0,0,0,0
SR1,,0,0,0,0,1,0,0,0,0
SR2,,221,0,209,0,19,0,16,2,8
SR3,,270,0,225,0,17,0,24,3,15
SR5,,263,0,214,231,16,0,44,23,74
SR8,,154,0,93,0,20,0,30,0,129
SS1,,66,11,301,0,6,0,50,0,186
SS11,,17,0,18,0,5,0,40,0,42
SS12,,75,0,54,18,7,0,71,0,14
SS15,,67,0,64,0,9,0,33,0,24
SS16,,49,148,55,65,10,27,40,0,23
SS17,,336,0,390,0,11,0,64,0,153
SS2,,83,0,267,0,13,0,8,149,0
SS3,,69,0,129,0,9,0,44,0,24
SS4,,55,0,0,0,10,0,30,0,48
SS5,,118,0,0,0,5,0,20,0,24
SS6,,168,0,0,0,10,0,10,0,24
SS7,,217,0,0,0,18,36,44,18,132
SS8,,97,0,0,0,12,0,17,0,42
SS9,,694,3,412,0,18,0,39,0,348
ST1,,118,0,149,0,14,0,21,120,101
ST10,,114,0,182,30,19,0,37,0,374
ST11,,197,59,254,0,9,55,33,55,96
ST12,,0,0,23,0,2,0,50,0,25
ST13,,139,0,95,80,17,24,12,24,17
ST14,,112,33,45,36,17,48,18,98,314
ST15,,321,0,527,56,11,0,45,98,604
ST16,,235,63,227,57,10,0,50,100,29
ST17,,854,92,923,76,22,0,50,76,1007
ST18,,152,207,194,91,13,0,54,20,325
ST19,,0,0,0,0,14,60,7,60,48
ST2,,274,0,375,0,15,0,27,6,209
ST20,,117,0,70,0,3,0,100,0,192
ST21,,54,0,37,0,3,0,0,0,0
ST3,,519,12,587,71,27,0,19,0,318
ST4,,661,319,622,344,22,269,36,338,357
ST5,,675,102,741,165,38,82,39,86,647
ST6,,583,70,762,126,26,0,27,60,364
ST7,,507,0,422,3,28,0,29,120,473
ST8,,55,40,72,48,10,27,20,34,118
ST9,,186,104,224,66,8,0,38,0,131
SW10,,0,0,0,0,6,0,0,0,0
SW11,,0,0,0,0,24,0,0,0,0
SW12,,0,0,0,0,16,0,0,0,0
SW13,,0,0,0,0,6,0,0,0,0
SW14,,0,0,0,0,6,0,0,0,0
SW15,,0,0,0,0,26,0,0,0,0
SW16,,0,0,0,0,16,0,0,0,0
SW17,,0,0,0,0,23,0,0,0,0
SW18,,0,0,0,0,18,0,0,0,0
SW19,,0,0,0,0,31,0,0,0,0
SW1E,,0,0,0,0,1,0,0,0,0
SW1H,,0,0,0,0,1,0,0,0,0
