Node,Highway Incidents,Footpath / Bridleway Incidents,Back Alleyway Incidents,Railway Incidents,Council Land Incidents,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Northumberland,9239,3249,7349,55,4505,1515,1590,1800,2260,2030,2511,3759,5041,5036
"Bournemouth, Christchurch and Poole",3952,0,0,0,0,,,,,,,,1705,2791
Dorset,2338,633,126,1,441,,,,,,,,1870,1937
Buckinghamshire,2203,1254,49,7,416,,,,,,,,,3954
Cambridge,1416,4027,435,4,5918,1087,1263,1056,1414,1889,1465,1126,1487,2086
East Cambridgeshire,3574,101,24,0,20,259,231,207,179,214,292,815,608,943
Fenland,7573,2226,493,3,678,791,798,1021,1029,1428,1775,1829,1522,1300
Huntingdonshire,4614,640,234,0,1271,352,367,499,640,692,683,1072,542,2351
South Cambridgeshire,2496,285,20,0,47,544,509,352,171,211,280,515,259,521
Allerdale,2040,1246,1898,6,1447,811,754,737,594,986,1030,927,689,1333
Barrow-in-Furness,0,0,10302,253,3508,1289,1357,1377,1172,1087,1484,1326,1986,2985
Carlisle,3548,538,1477,2,544,351,377,347,657,598,921,1080,1030,1594
Copeland,1866,439,280,5,473,294,442,486,391,434,254,237,266,406
Eden,2162,1,0,0,1,75,156,132,238,232,288,341,326,376
South Lakeland,1182,116,312,7,425,746,617,380,201,228,195,117,161,260
Amber Valley,2201,89,0,0,126,219,324,266,319,341,236,266,223,229
Bolsover,6772,643,334,5,902,526,926,848,901,1082,1152,1672,1494,1823
Chesterfield,414,647,9,7,1727,303,404,392,436,436,331,353,293,459
Derbyshire Dales,1848,157,18,0,121,193,246,265,242,182,158,222,274,405
Erewash,1190,427,58,2,612,193,258,302,262,256,159,270,291,418
High Peak,1523,329,190,9,521,447,407,514,526,488,393,199,302,609
North East Derbyshire,3439,128,20,2,443,496,555,298,414,448,475,671,687,906
South Derbyshire,5133,95,30,2,724,582,567,498,685,742,668,682,714,1003
East Devon,3652,244,108,2,342,417,544,525,453,492,533,450,584,436
Exeter,2698,943,1395,5,938,1085,1203,874,287,906,728,950,823,1056
Mid Devon,2608,838,67,0,465,416,297,348,340,570,684,570,570,824
North Devon,3621,719,385,0,456,706,530,381,607,726,814,641,625,633
South Hams,2643,481,76,7,450,373,437,442,428,653,398,317,370,542
Teignbridge,6331,283,259,0,1956,592,634,694,891,939,900,1002,1536,1703
Torridge,1317,272,174,0,61,266,290,299,160,134,232,238,194,141
West Devon,1910,32,16,1,270,225,206,202,252,314,289,181,273,337
Eastbourne,4491,1309,1891,17,802,1172,1307,2320,1346,473,340,526,526,919
Hastings,12482,4439,25,1,50,3464,2063,1434,1899,2306,1886,1791,1147,1055
Lewes,928,171,39,0,745,518,274,172,137,147,124,215,163,265
Rother,3719,402,251,4,180,400,496,418,323,491,398,484,598,1096
Wealden,4422,146,7,4,451,455,642,596,598,457,376,558,621,811
Basildon,15423,152,4932,166,23227,3777,5706,8307,4239,5762,4620,3665,3451,4375
Braintree,3538,986,125,5,804,746,918,764,775,724,768,801,701,830
Brentwood,4235,403,59,0,490,446,474,727,665,558,692,689,462,585
Castle Point,6486,37,11,0,368,157,366,767,1033,910,699,939,933,1163
Chelmsford,2280,414,53,1,298,439,439,385,376,503,455,284,140,312
Colchester,8714,1211,460,215,5421,1104,1895,1349,1502,1591,2628,2056,1649,2357
Epping Forest,9296,636,158,6,8985,1711,1771,1940,1944,2384,2506,2709,2602,3343
Harlow,88,619,605,2,19038,1608,1892,2056,2571,2614,2541,2501,2443,2378
Maldon,2620,45,12,5,58,246,251,232,183,309,405,400,379,544
Rochford,4497,49,8,0,153,329,394,526,635,688,571,518,493,612
Tendring,5672,573,355,4,814,706,693,846,991,1132,920,718,671,1266
Uttlesford,1126,303,65,1,164,87,90,135,189,193,356,356,274,287
Cheltenham,2817,248,101,3,151,470,463,474,150,678,368,207,246,453
Cotswold,3055,276,18,1,65,261,319,349,298,322,360,425,528,914
Forest of Dean,4272,17,2,0,2097,540,833,873,679,662,738,747,1190,1690
Gloucester,12156,14,450,0,1729,1258,1915,1994,2240,1626,1267,1584,1591,1675
Stroud,6620,808,12,18,448,714,683,744,752,1036,957,876,994,1662
Tewkesbury,2681,1043,124,6,229,331,513,643,440,446,356,516,403,1094
Basingstoke and Deane,9577,1838,1932,0,3448,2198,1798,1308,1036,2147,2703,2520,4107,2935
East Hampshire,3798,680,59,3,360,404,442,437,509,676,525,426,558,1152
Eastleigh,1462,341,744,2,1005,428,529,604,614,706,762,665,596,2179
Fareham,2894,347,68,4,1214,300,404,338,325,1387,982,181,307,425
Gosport,1590,94,304,0,1482,321,423,511,500,554,476,385,389,579
Hart,5122,261,52,1,508,702,711,602,749,679,709,568,425,1029
Havant,5601,464,351,13,3414,1167,1239,1503,1130,945,828,883,1140,1377
New Forest,2848,3753,938,16,271,742,896,875,770,979,858,915,923,1155
Rushmoor,6089,308,19,1,2083,1314,1147,1102,901,1068,1122,1061,568,625
Test Valley,3762,639,905,12,3091,785,523,536,851,981,987,1138,1454,1744
Winchester,6114,737,76,4,1092,614,628,603,746,808,784,770,1089,2120
Broxbourne,3833,144,136,4,531,691,562,561,705,754,686,897,792,839
Dacorum,1812,764,292,2,7706,832,1085,1091,1213,1261,1165,1397,1259,1470
Hertsmere,2989,1727,182,1,2516,293,422,552,652,800,1012,1103,1240,1626
North Hertfordshire,4953,1414,163,9,842,561,534,778,941,925,924,1240,1153,1871
Three Rivers,2212,341,42,7,2705,502,524,738,796,714,824,620,535,660
Watford,4789,3617,103,3,1058,1127,977,612,1815,1414,930,1069,976,1260
Ashford,5619,974,299,1,3511,946,1124,940,800,856,1249,1465,1538,1988
Canterbury,8754,0,0,0,3641,1664,2027,1461,1299,1035,1044,1197,1533,2111
Dartford,9831,542,2042,5,2427,1304,1728,1825,1961,1609,2366,2446,2700,3474
Dover,6309,773,430,2,1350,903,1010,1416,1125,1100,1077,948,942,1514
Gravesham,5724,5434,3537,6,1886,1438,1733,1986,2258,2249,2122,2240,2278,2307
Maidstone,9205,1838,206,5,243,942,1274,886,796,973,1041,1634,2402,2952
Sevenoaks,5430,234,28,0,424,355,544,729,883,930,852,732,778,1079
Folkestone and Hythe,2702,783,104,3,273,,,,,,,955,1360,1779
Swale,14823,623,6208,3,2224,1925,2632,2858,2966,3243,2610,2789,2633,3294
Thanet,5110,835,2376,6,1460,904,1299,1730,1617,1776,1940,1918,2066,2611
Tonbridge and Malling,2220,1018,103,1,697,416,498,494,505,648,507,585,581,1017
Tunbridge Wells,3293,420,223,1,210,280,307,391,696,704,819,0,659,926
Burnley,2852,3150,15312,10,767,3932,5201,4663,5962,3101,2660,2702,2831,3147
Chorley,2112,1919,1927,13,756,740,863,881,886,880,1070,897,894,1435
Fylde,2080,615,1656,8,98,359,499,518,601,652,623,641,570,551
Hyndburn,1617,2669,11734,5,1667,1138,1462,1030,2232,2983,2229,2613,2829,3308
Lancaster,2279,4452,25065,35,4061,8975,6341,3717,2750,3765,4006,2708,1942,2827
Pendle,1419,495,34374,11,1157,5065,4369,2762,3745,5704,5244,2155,3163,5716
Preston,4393,3852,12518,13,1214,1815,1987,1812,1490,3040,2904,2821,2748,3469
Ribble Valley,5335,257,989,0,162,794,724,692,754,803,738,645,725,948
Rossendale,1060,1264,1847,0,952,383,298,553,800,913,936,887,806,1052
South Ribble,1416,295,1866,17,833,548,650,539,476,505,425,504,458,610
West Lancashire,2755,7351,1760,0,0,937,830,930,1134,1204,1254,1212,1870,3246
Wyre,821,1519,10288,6,591,295,1906,2229,1839,1473,1371,1391,1405,1578
Blaby,2419,1501,74,5,467,252,340,602,534,531,588,689,676,1289
Charnwood,4125,687,57,3,659,375,514,570,522,603,673,852,924,1198
Harborough,3901,254,96,1,97,210,373,424,475,653,608,728,484,469
Hinckley and Bosworth,2802,1532,152,2,592,391,455,429,513,754,731,844,791,1296
Melton,2090,112,17,0,1156,321,443,449,298,387,410,382,343,399
North West Leicestershire,7406,279,20,3,193,1156,1110,697,746,884,731,716,695,1475
Oadby and Wigston,36,17,10,1,16,12,25,23,11,17,8,17,4,9
Boston,2914,3588,1015,13,926,1385,932,949,969,1367,1099,1302,1245,3316
East Lindsey,9692,711,561,4,970,1786,1964,1716,1349,1528,1244,1180,732,1104
Lincoln,6655,3303,348,4,1705,933,1039,1258,1248,1127,1628,2450,1961,1517
North Kesteven,6651,703,121,2,588,879,1056,962,1064,1058,880,889,751,1537
South Holland,2941,2994,62,0,218,524,782,578,599,671,662,876,720,1520
South Kesteven,3823,529,304,12,434,308,592,757,817,683,721,777,922,1399
West Lindsey,4399,1485,2769,12,470,728,602,982,944,970,792,1138,893,2901
Breckland,4131,936,119,5,5110,1336,1614,1426,1255,1060,804,1009,984,1103
Broadland,3703,213,5,1,464,568,567,451,407,436,421,515,438,629
Great Yarmouth,1943,2490,31166,28,7895,7193,5015,5493,6588,7993,6407,1555,1491,2146
King's Lynn and West Norfolk,10473,2451,596,14,1287,1683,2153,2135,1905,1980,1512,1460,1261,1188
North Norfolk,2299,442,174,7,434,337,343,351,412,495,521,569,517,473
Norwich,153,1603,1727,0,33493,2421,3003,3064,3643,5264,4804,5290,4937,4755
South Norfolk,4917,665,46,6,656,1230,712,793,689,680,836,888,725,971
Craven,799,78,148,7,99,86,92,119,113,231,192,154,134,190
Hambleton,2480,102,17,2,52,184,203,237,260,293,421,382,358,664
Harrogate,3592,222,329,6,258,349,337,308,425,560,639,697,588,682
Richmondshire,594,80,9,2,373,126,65,88,110,131,86,105,178,313
Ryedale,800,42,0,0,10,74,75,133,104,135,91,38,101,114
Scarborough,12168,481,602,5,2439,3939,3799,2148,1777,1639,666,167,743,1508
Selby,3538,212,467,13,990,482,446,564,631,729,724,715,635,725
Ashfield,2653,2134,557,14,630,477,601,606,681,811,892,1018,901,891
Bassetlaw,13307,495,67,0,145,897,1082,1352,1346,1460,1803,1987,1990,2162
Broxtowe,1316,657,98,1,792,452,470,373,479,394,280,359,257,183
Gedling,8632,1611,387,9,1096,775,913,1357,1756,1993,1894,1361,1359,2003
Mansfield,6546,1911,684,5,2598,955,954,1059,1335,1612,1516,1546,1407,2067
Newark and Sherwood,9038,1252,56,3,264,1135,1114,845,879,1263,1382,1372,1345,1845
Rushcliffe,3026,1628,192,2,525,307,420,478,546,775,1119,1290,1064,1298
Cherwell,1590,1176,372,19,823,396,469,486,556,538,620,769,684,652
Oxford,10966,720,492,1,2719,1039,1293,1589,1901,1749,1405,1653,1653,2708
South Oxfordshire,4832,477,61,0,400,639,517,469,497,480,700,733,815,969
Vale of White Horse,2276,540,78,0,349,399,341,320,255,288,397,458,390,572
West Oxfordshire,3715,406,50,0,451,503,498,532,450,481,512,618,682,1188
Mendip,15646,133,6,0,508,1631,1834,2042,2078,1757,1734,1560,1497,2283
Sedgemoor,6494,0,0,0,3632,1161,1234,1088,1117,1177,1243,1078,947,1081
South Somerset,5940,923,113,2,1278,1659,1253,1160,1083,1150,940,831,561,797
Cannock Chase,904,1227,365,1,1242,318,334,416,471,485,425,366,406,565
East Staffordshire,1498,1175,96,2,1124,236,367,335,417,561,490,555,578,978
Lichfield,3055,0,0,0,10,176,241,218,409,393,330,270,350,678
Newcastle-under-Lyme,8967,1905,812,9,2419,3458,2583,1934,1712,1525,984,571,800,1088
South Staffordshire,7586,120,2,0,91,273,380,348,417,900,946,1141,1662,1737
Stafford,3525,56,260,0,404,352,443,394,538,533,496,513,427,773
Staffordshire Moorlands,1981,379,420,7,168,350,455,508,562,511,365,295,359,558
Tamworth,452,2654,400,1,9041,933,1134,1161,1231,1556,1379,1759,1944,2002
Babergh,1311,243,63,1,383,224,220,247,295,289,270,256,235,500
Ipswich,3974,342,262,5,689,560,590,730,976,579,420,869,463,624
Mid Suffolk,1868,217,33,1,286,215,292,330,297,324,322,317,301,565
Elmbridge,5685,1324,476,7,750,635,657,656,940,828,1195,1435,1592,1692
Epsom and Ewell,494,1268,529,3,3826,572,533,625,749,919,932,941,855,828
Guildford,6031,1436,205,2,3939,1072,1179,1132,1151,1377,1243,1546,1366,1664
Mole Valley,1935,1904,54,10,464,865,847,489,0,533,515,507,654,579
Reigate and Banstead,2737,324,18,2,9989,245,353,191,422,449,539,461,524,10530
Runnymede,2231,1325,276,7,1442,482,438,622,540,566,507,730,886,846
Spelthorne,1382,2303,387,4,2985,324,281,382,439,772,995,995,1016,2300
Surrey Heath,1910,272,105,1,159,275,227,198,264,292,253,373,411,536
Tandridge,8477,482,123,0,661,774,928,1188,1086,1108,1008,1105,1286,1384
Waverley,3336,394,12,0,865,414,394,398,399,549,615,574,447,957
Woking,3426,12,0,0,7760,792,923,970,1178,1333,1417,1640,1243,1705
North Warwickshire,5719,358,100,1,1245,422,646,660,788,900,972,1104,1038,1060
Nuneaton and Bedworth,1671,1912,406,36,3923,310,572,510,761,1405,714,743,1483,2050
Rugby,4623,2799,475,8,1751,603,750,849,865,1073,1068,1348,1356,2459
Stratford-on-Avon,2683,95,3,0,37,142,232,243,282,291,328,364,338,612
Warwick,5455,1103,960,18,2267,1113,954,890,1092,835,1014,1670,1505,1680
Adur,1641,11,66,0,1872,244,287,315,312,361,417,612,407,895
Arun,3263,1769,586,6,1069,716,406,772,821,1013,837,1072,1455,1569
Chichester,5834,1023,30,2,277,499,515,536,618,988,970,983,1011,1657
Crawley,623,417,252,163,10322,1233,1758,1608,1505,1315,1093,1006,1049,1464
Horsham,2996,757,113,0,1954,446,527,515,595,737,792,1018,1066,1470
Mid Sussex,2118,121,28,1,522,527,404,280,277,324,198,286,391,542
Worthing,2820,59,73,1,407,383,277,285,364,439,468,371,352,760
Bromsgrove,6059,610,78,3,7016,560,902,1312,1757,1763,1738,2204,2128,2549
Malvern Hills,1779,240,26,1,67,194,234,253,244,276,223,217,251,287
Redditch,674,883,299,0,10135,1094,1641,1154,1397,1880,1500,1437,1394,1759
Worcester,887,1111,373,1,603,288,353,501,453,451,306,298,341,432
Wychavon,4819,459,49,3,309,532,616,592,609,810,614,710,718,962
Wyre Forest,2243,904,123,4,1307,196,350,485,648,572,685,706,518,660
St Albans,7045,399,17,0,893,636,795,1130,1130,1324,910,866,746,910
Welwyn Hatfield,998,1126,502,8,21603,2529,2491,2835,3285,2664,2415,2107,1700,4836
East Hertfordshire,4551,1101,41,1,2967,700,821,774,1040,1114,1083,1326,1013,1346
Stevenage,416,86,119,165,22253,2403,3692,3410,2849,4287,2468,2062,1794,3156
East Suffolk,1114,728,1103,2,439,,,,,,,,1594,2252
West Suffolk,275,445,57,1,217,,,,,,,,630,671
Somerset West and Taunton,965,213,14,1,205,,,,,,,,434,997
Bolton,1644,2457,10724,43,6076,3016,4368,4903,2964,2065,1451,1004,935,1250
Bury,6804,3494,13782,2,212,1884,2000,3061,3853,3337,3195,2522,2677,3308
Manchester,116410,288,34377,53,23234,20085,21449,18907,22251,28508,17497,19056,18270,14891
Oldham,1975,1375,6517,21,1108,814,775,1214,849,1221,953,3042,2066,1572
Rochdale,14905,3165,8652,10,11719,3034,4082,4394,4328,5112,4219,5218,6111,5342
Salford,10648,1776,12668,31,2941,2720,3836,3626,3286,2984,2223,2759,4187,5170
Stockport,3869,2444,3589,99,6313,2076,1909,1806,1945,2040,2452,2663,2511,3996
Tameside,4381,1138,2855,32,4742,1016,1016,2775,2742,2783,1513,1501,3367,5063
Trafford,7093,1518,10438,1,1420,1104,1360,1724,1487,2649,2837,2905,3274,3516
Wigan,2265,1204,8110,23,3594,2558,2479,2582,2400,2105,1759,1696,887,941
Knowsley,1737,7333,1502,17,5741,2380,2094,2200,1262,537,1654,2177,1939,2617
Liverpool,115183,348,63113,0,0,17843,17882,16179,20016,20832,20576,20210,20780,24326
St. Helens,2740,385,10839,31,745,984,1215,1485,1829,2070,2005,1959,1817,2060
Sefton,16393,5691,2248,5,2199,2934,3124,3201,3254,3469,3070,3472,3837,4046
Wirral,9803,1773,9752,5,1540,2293,2460,2052,2546,2986,2914,3152,2989,4835
Barnsley,10822,2863,5540,19,10535,1677,2162,3057,3804,4328,3746,2791,3740,5652
Doncaster,6894,4758,8965,14,7856,5168,5309,4498,3489,3476,3252,2873,1373,1177
Rotherham,31580,912,328,2,1003,2121,2926,3413,2974,3525,3602,5098,4429,5834
Sheffield,14696,31308,402,4,79984,21778,18084,10011,11700,12026,12616,15254,14231,12126
Newcastle upon Tyne,2388,14357,25167,74,32533,11160,5991,8057,5867,5564,9616,9931,11580,16150
North Tyneside,881,3985,9636,31,5116,1137,1448,1671,1642,2098,2388,4302,3391,4806
South Tyneside,890,3616,26153,12,10195,5738,3156,3368,4723,5002,5933,5341,4400,6167
Sunderland,2810,7782,39249,14,26576,15730,10666,5364,4107,5891,9055,8933,8829,11743
Birmingham,117901,12894,2345,11,4806,14043,16186,14203,12348,14799,15993,17575,21761,22750
Coventry,21696,14568,2224,7,3593,2836,2287,2811,2316,3342,4704,6922,6955,10727
Dudley,2723,4199,616,7,1127,728,782,819,824,1069,832,938,1224,1834
Sandwell,24117,2645,1456,821,17173,2665,4599,3544,4140,5288,4695,5808,5972,10330
Solihull,2446,1649,177,2,7482,1121,1170,1552,1269,1570,1116,2212,2555,4090
Walsall,21484,890,983,17,6406,2067,3389,3362,4599,4565,4367,4265,3441,3618
Wolverhampton,19166,2671,395,6,3563,3054,4745,4427,3456,2653,2362,2449,2463,3056
Bradford,30308,44185,16740,136,9113,6335,8867,10439,11391,12191,14317,16584,16128,18001
Calderdale,4690,4565,1454,32,1540,1156,1523,1686,1775,1912,1619,1719,1856,2380
Kirklees,13659,1313,941,138,959,661,378,335,354,3318,4145,5161,5891,8599
Leeds,32653,56263,14467,50,42635,2977,10501,13935,15531,16425,26831,32411,26079,16783
Wakefield,11858,4981,1786,78,3967,2312,2354,2858,3396,3069,3018,3313,2628,2436
Gateshead,1908,3628,54632,39,12705,5035,7286,9089,10702,11826,9448,7886,7804,9513
City of London,4245,6011,212,1,157,449,530,369,627,1731,1826,1501,1804,2112
Barking and Dagenham,1487,16081,1415,61,3096,2417,1282,2564,2361,2423,2628,2901,3794,3494
Barnet,7268,25993,4534,4,4920,1697,1779,11615,5999,7029,6153,2167,3420,4218
Bexley,15276,849,912,9,675,1038,1078,1162,1110,1480,2105,2146,2552,5684
Brent,135247,13550,216,15,167,6911,7001,12912,13198,17340,18609,23965,34197,33467
Bromley,21683,359,383,7,4831,2495,2809,3377,3343,3246,3067,3172,2821,3575
Camden,33023,20356,134,6,11862,11477,10950,8308,7268,6778,12170,25765,34465,36696
Croydon,18954,105155,2616,34,24013,11150,15113,18560,0,24797,19198,22184,25532,22719
Ealing,82993,660,2370,0,1598,6352,5765,7257,7032,14270,13610,12547,13115,13090
Enfield,241801,2632,576,2087,14789,17871,31692,50121,70930,75614,3900,5164,4979,7289
Greenwich,31903,24083,8943,7,4379,5170,12765,14324,10712,7960,8411,15897,11795,4376
Hackney,10584,29659,1673,2,21508,599,7635,6008,6917,3267,9821,13504,12190,13609
Hammersmith and Fulham,5314,38563,318,1,958,7079,9011,9208,10829,14870,18652,16769,13322,16828
Haringey,209500,16,1557,0,15562,12398,31045,25709,34975,33333,23549,21320,22972,21950
Harrow,63312,7580,1496,28,2084,6228,8429,7072,8462,6835,9626,13658,11151,7622
Havering,18582,1088,1320,2,8924,2842,3620,2914,3726,4061,4655,3959,3380,3242
Hillingdon,12504,3780,1374,7,7623,4506,1995,1817,7267,7766,7181,10677,10434,9323
Hounslow,16664,158005,3033,0,635,13934,15864,16282,19809,22973,17063,21897,22480,30902
Islington,18470,1607,421,10,1740,2231,2634,3166,4174,3011,2588,1434,1764,1982
Kensington and Chelsea,65478,0,0,0,0,6075,6934,6603,6105,9029,9852,6836,6490,8043
Kingston upon Thames,8484,1824,356,4,171,126,339,956,1263,1528,1349,1589,1619,2205
Lambeth,4900,25691,516,5,435,1454,1206,4056,2493,3427,3433,5379,6638,5040
Lewisham,35863,6821,382,75,5698,10604,9152,6747,5514,1931,3562,3542,3842,4294
Merton,56297,529,898,0,1225,3098,3064,3819,2816,3113,8878,11406,13047,15857
Newham,229711,4586,1299,26,36780,28443,67930,70192,32718,19917,15206,14656,11145,20765
Redbridge,78903,10686,2758,0,1430,6986,8939,11066,10864,0,13120,0,19897,26053
Richmond upon Thames,27843,1968,118,0,1229,2608,2871,2903,3723,5253,4701,3588,2887,2981
Southwark,15528,145145,348,0,24879,25894,26638,25583,21359,17131,15741,14412,17872,21386
Sutton,12612,885,221,1,315,1512,1264,1575,1478,2296,2683,3151,3823,4487
Tower Hamlets,4642,52309,834,1,71,3732,5201,6671,4555,6287,7465,9228,7365,7537
Waltham Forest,49757,0,432,1,10557,3951,4723,6127,6798,6772,7678,9434,9260,8606
Wandsworth,23081,4810,404,19,276,1546,1105,1357,1712,4335,5000,5410,4745,3924
Westminster,69281,18,345,0,3482,19021,17121,16675,0,10075,13890,15003,15283,11478
