Row Labels,Number of schools,% schools booked that booked Bikeability,Levels 1 and 2 places attended (2020/21),Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020),Total Places attended (2020/21),No Delivery due to Covid
HX1,10,10,0,0,0,0,Yes
KT11,10,10,0,0,0,0,Yes
KT20,10,10,0,0,0,0,Yes
YO25,20,10,0,0,0,0,Yes
B23,22,9,0,0,0,0,Yes
B98,22,9,0,0,0,0,Yes
BD10,11,9,0,0,0,0,Yes
BS10,11,9,0,0,0,0,Yes
CH4,11,9,0,0,0,0,Yes
GU5,11,9,0,0,0,0,Yes
NE24,11,9,0,0,0,0,Yes
SR7,11,9,0,0,0,0,Yes
B20,13,8,0,0,0,0,Yes
BD2,12,8,0,0,0,0,Yes
BS3,12,8,0,0,0,0,Yes
CV12,12,8,0,0,0,0,Yes
DY3,12,8,0,0,0,0,Yes
GU15,12,8,0,0,0,0,Yes
HU12,13,8,0,0,0,0,Yes
MK14,12,8,0,0,0,0,Yes
NG23,13,8,0,0,0,0,Yes
SO18,13,8,0,0,0,0,Yes
YO11,13,8,0,0,0,0,Yes
YO24,12,8,0,0,0,0,Yes
HA6,14,7,0,0,0,0,Yes
MK6,15,7,0,0,0,0,Yes
NR11,14,7,0,0,0,0,Yes
SS0,14,7,0,0,0,0,Yes
YO21,14,7,0,0,0,0,Yes
B15,18,6,0,0,0,0,Yes
B21,16,6,0,0,0,0,Yes
B33,16,6,0,0,0,0,Yes
BS5,17,6,0,0,0,0,Yes
IP1,18,6,0,0,0,0,Yes
ME15,18,6,0,0,0,0,Yes
B11,19,5,0,0,0,0,Yes
B13,22,5,0,0,0,0,Yes
HG4,19,5,0,0,0,0,Yes
LE10,20,5,0,0,0,0,Yes
PE30,21,5,0,0,0,0,Yes
S65,20,5,0,0,0,0,Yes
WV14,22,5,0,0,0,0,Yes
SL2,23,4,0,0,0,0,Yes
 M3,1,,,,,0,
 NW3,1,,,,,0,
 RG8,1,,,,,0,
 SW17,1,,,,,0,
AL1,22,,23,0,0,23,
AL10,13,,88,18,0,106,
AL2,7,,28,0,0,28,
AL3,18,,260,0,0,260,
AL4,13,,156,0,0,156,
AL5,21,,222,0,0,222,
AL6,6,,45,19,0,64,
AL7,13,,35,0,0,35,
AL8,9,,92,0,0,92,
B1,3,,,,,0,
B10,14,,,,,0,
B12,17,,98,0,32,130,
B14,20,,103,16,12,131,
B16,7,,,,,0,
B18,10,,,,,0,
B19,16,,,,,0,
B24,10,,96,0,23,119,
B26,12,,,,,0,
B27,9,,,,,0,
B28,10,,29,0,4,33,
B29,20,,333,8,42,383,
B30,13,,146,0,0,146,
B31,21,,88,0,0,88,
B35,7,,,,,0,
B36,19,,28,0,0,28,
B37,14,,180,0,0,180,
B4,1,,,,,0,
B43,10,,,,,0,
B45,17,,171,0,10,181,
B46,7,,93,0,0,93,
B48,2,,,,,0,
B49,10,,18,0,0,18,
B5,2,,,,,0,
B50,1,,30,0,0,30,
B6,15,,95,18,12,125,
B60,12,,26,0,0,26,
B65,8,,24,0,0,24,
B66,10,,25,0,0,25,
B67,9,,42,0,0,42,
B68,15,,20,0,0,20,
B69,12,,57,0,0,57,
B7,10,,12,0,0,12,
B70,13,,30,0,0,30,
B71,12,,33,0,0,33,
B72,5,,28,0,0,28,
B73,8,,30,0,34,64,
B74,10,,140,0,0,140,
B76,8,,19,0,23,42,
B77,24,,112,19,31,162,
B78,10,,,,,0,
B79,16,,266,0,54,320,
B80,5,,,,,0,
B90,19,,190,0,0,190,
B92,14,,68,0,0,68,
B93,7,,374,0,0,374,
B94,4,,14,0,0,14,
B95,6,,61,0,0,61,
B96,3,,,,,0,
B97,11,,,,,0,
BA1,17,,29,0,0,29,
BA10,4,,6,0,0,6,
BA11,20,,24,0,0,24,
BA12,17,,68,0,0,68,
BA14,24,,104,0,0,104,
BA15,5,,12,0,0,12,
BA16,7,,43,0,0,43,
BA2,35,,24,0,0,24,
BA20,3,,72,0,0,72,
BA21,15,,42,0,0,42,
BA22,11,,48,0,0,48,
BA3,24,,150,0,0,150,
BA4,10,,42,0,0,42,
BA5,12,,117,0,0,117,
BA6,9,,64,0,0,64,
BA7,3,,,,,0,
BA8,4,,25,0,0,25,
BA9,3,,,,,0,
BB1,35,,117,0,30,147,
BB10,20,,327,71,192,590,
BB11,15,,358,25,87,470,
BB12,26,,787,99,216,1102,
BB2,38,,422,33,32,487,
BB3,20,,135,0,0,135,
BB4,27,,60,0,0,60,
BB5,37,,219,30,90,339,
BB6,7,,79,7,0,86,
BB7,25,,43,0,179,222,
BB8,15,,32,0,0,32,
BD1,1,,,,,0,
BD11,2,,22,0,0,22,
BD12,6,,46,0,0,46,
BD14,4,,46,0,6,52,
BD15,6,,44,0,0,44,
BD16,13,,92,10,5,107,
BD17,5,,134,0,0,134,
BD19,9,,66,0,28,94,
BD20,16,,27,0,0,27,
BD21,10,,129,0,63,192,
BD22,14,,80,0,0,80,
BD23,27,,94,0,0,94,
BD24,4,,15,0,0,15,
BD4,17,,111,0,40,151,
BD5,24,,,,,0,
BD6,10,,25,0,0,25,
BD7,10,,,,,0,
BD8,20,,127,0,24,151,
BD9,17,,114,0,0,114,
BH1,3,,,,,0,
BH12,11,,12,0,0,12,
BH13,1,,,,,0,
BH14,5,,48,0,0,48,
BH15,10,,10,0,0,10,
BH16,6,,26,0,0,26,
BH17,10,,23,0,0,23,
BH19,6,,7,9,0,16,
BH2,3,,,,,0,
BH20,11,,99,0,0,99,
BH21,26,,5,9,0,14,
BH22,7,,25,0,0,25,
BH23,19,,108,103,0,211,
BH24,10,,18,0,0,18,
BH25,8,,50,9,0,59,
BH3,1,,30,0,0,30,
BH31,4,,,,,0,
BH4,1,,,,,0,
BH6,4,,12,0,0,12,
BH7,4,,,,,0,
BH8,9,,,,,0,
BH9,7,,38,0,0,38,
BL0,10,,35,0,0,35,
BL1,32,,282,14,104,400,
BL2,20,,23,0,0,23,
BL3,38,,142,2,60,204,
BL4,21,,110,4,66,180,
BL5,11,,0,0,8,8,
BL6,14,,89,0,0,89,
BL7,9,,52,12,39,103,
BL8,20,,151,0,0,151,
BL9,28,,71,0,0,71,
BN1,29,,100,0,28,128,
BN10,4,,86,0,0,86,
BN11,10,,60,0,0,60,
BN12,8,,115,0,0,115,
BN13,8,,3,0,0,3,
BN14,12,,138,0,0,138,
BN15,9,,60,0,0,60,
BN16,8,,60,0,0,60,
BN17,7,,122,0,0,122,
BN18,9,,68,0,0,68,
BN2,27,,0,0,30,30,
BN20,10,,0,0,144,144,
BN21,4,,46,0,0,46,
BN22,13,,29,0,16,45,
BN23,9,,26,0,0,26,
BN24,3,,12,0,0,12,
BN26,2,,,,,0,
BN27,11,,48,0,0,48,
BN41,9,,65,0,48,113,
BN42,2,,,,,0,
BN43,9,,,,,0,
BN44,4,,,,,0,
BN5,1,,31,0,0,31,
BN6,8,,53,0,0,53,
BN7,11,,50,0,0,50,
BN8,12,,151,0,0,151,
BN9,6,,48,0,12,60,
BR1,23,,,,,0,
BR2,18,,,,,0,
BR3,19,,,,,0,
BR4,8,,,,,0,
BR5,16,,,,,0,
BR6,19,,,,,0,
BR7,11,,,,,0,
BR8,11,,36,0,0,36,
BS1,5,,12,0,0,12,
BS11,11,,78,0,0,78,
BS13,13,,86,0,0,86,
BS14,11,,,,,0,
BS15,16,,0,54,0,54,
BS16,34,,86,0,25,111,
BS2,9,,12,0,0,12,
BS20,10,,214,12,0,226,
BS21,7,,124,0,0,124,
BS22,13,,181,36,0,217,
BS23,11,,76,0,0,76,
BS24,11,,125,0,0,125,
BS25,5,,0,42,0,42,
BS26,2,,,,,0,
BS27,4,,,,,0,
BS28,2,,3,0,0,3,
BS29,1,,,,,0,
BS30,13,,54,73,25,152,
BS31,11,,24,0,0,24,
BS32,12,,114,0,25,139,
BS34,12,,48,0,0,48,
BS35,16,,110,0,25,135,
BS36,6,,31,0,0,31,
BS37,20,,33,41,0,74,
BS39,9,,49,0,0,49,
BS4,19,,38,0,0,38,
BS40,10,,65,0,0,65,
BS41,3,,,,,0,
BS48,14,,88,24,10,122,
BS49,4,,,,,0,
BS6,13,,125,0,0,125,
BS7,15,,42,0,0,42,
BS8,8,,,,,0,
BS9,11,,77,0,0,77,
CA1,10,,47,0,0,47,
CA10,15,,80,0,0,80,
CA11,14,,60,0,0,60,
CA12,6,,108,0,0,108,
CA13,9,,104,0,0,104,
CA14,21,,95,0,0,95,
CA15,13,,97,0,0,97,
CA16,6,,41,0,0,41,
CA17,3,,6,17,0,23,
CA19,1,,9,0,0,9,
CA2,15,,77,0,0,77,
CA20,2,,23,0,0,23,
CA21,1,,6,0,0,6,
CA22,5,,34,0,0,34,
CA23,1,,,,,0,
CA24,1,,,,,0,
CA25,3,,19,0,0,19,
CA26,5,,9,0,0,9,
CA28,17,,42,0,0,42,
CA3,6,,19,0,0,19,
CA4,9,,60,0,0,60,
CA5,9,,53,0,0,53,
CA6,8,,60,0,0,60,
CA7,21,,79,0,0,79,
CA8,10,,63,0,0,63,
CA9,3,,,,,0,
CB1,21,,204,23,0,227,
CB10,6,,32,0,0,32,
CB11,11,,58,56,29,143,
CB2,16,,224,7,0,231,
CB21,15,,96,0,0,96,
CB22,12,,287,0,0,287,
CB23,16,,627,22,0,649,
CB24,18,,302,0,0,302,
CB25,6,,75,0,0,75,
CB3,6,,23,0,0,23,
CB4,17,,64,0,0,64,
CB5,4,,18,0,0,18,
CB6,19,,188,0,0,188,
CB8,15,,117,0,0,117,
CB9,15,,12,0,0,12,
CH1,13,,38,0,0,38,
CH2,17,,162,84,0,246,
CH3,20,,132,0,0,132,
CH41,13,,10,0,0,10,
CH42,8,,12,0,0,12,
CH43,17,,75,0,0,75,
CH44,9,,34,0,0,34,
CH45,10,,,,,0,
CH46,11,,5,0,0,5,
CH47,2,,,,,0,
CH48,9,,,,,0,
CH49,17,,0,44,0,44,
CH60,4,,,,,0,
CH61,7,,26,0,0,26,
CH62,9,,183,0,0,183,
CH63,15,,66,0,0,66,
CH64,7,,15,0,0,15,
CH65,14,,,,,0,
CH66,13,,28,0,0,28,
CM1,28,,65,36,0,101,
CM11,7,,72,0,0,72,
CM12,9,,84,0,0,84,
CM13,11,,53,22,0,75,
CM14,5,,31,0,0,31,
CM15,17,,33,0,0,33,
CM16,9,,105,18,0,123,
CM17,10,,55,0,0,55,
CM18,15,,17,0,0,17,
CM19,7,,13,0,0,13,
CM2,27,,190,20,0,210,
CM20,10,,21,0,0,21,
CM22,9,,31,0,0,31,
CM23,22,,37,0,0,37,
CM3,28,,260,0,0,260,
CM4,6,,16,0,0,16,
CM6,11,,139,0,30,169,
CM7,18,,99,0,0,99,
CM77,5,,88,0,0,88,
CM8,14,,59,0,0,59,
CM9,12,,76,0,0,76,
CO1,4,,60,0,0,60,
CO10,24,,28,0,0,28,
CO11,7,,70,0,0,70,
CO12,9,,11,0,0,11,
CO14,2,,32,0,0,32,
CO15,12,,96,0,0,96,
CO16,9,,9,0,0,9,
CO3,22,,107,0,0,107,
CO4,21,,29,0,0,29,
CO5,12,,71,0,0,71,
CO6,17,,62,0,0,62,
CO7,15,,58,0,0,58,
CO9,17,,21,0,0,21,
CR0,58,,,,,0,
CR2,20,,,,,0,
CR3,18,,13,0,0,13,
CR4,24,,,,,0,
CR5,9,,,,,0,
CR6,4,,,,,0,
CR7,18,,,,,0,
CR8,15,,,,,0,
CT1,13,,50,0,0,50,
CT10,15,,40,0,0,40,
CT11,11,,45,0,0,45,
CT12,10,,,,,0,
CT13,6,,36,0,0,36,
CT14,15,,72,0,0,72,
CT15,11,,72,0,0,72,
CT16,12,,216,0,0,216,
CT17,10,,,,,0,
CT18,4,,31,0,0,31,
CT19,16,,0,20,0,20,
CT2,13,,24,0,0,24,
CT20,7,,27,0,0,27,
CT21,7,,,,,0,
CT3,13,,205,0,0,205,
CT4,10,,97,0,0,97,
CT5,8,,104,0,0,104,
CT6,9,,127,0,0,127,
CT7,4,,,,,0,
CT8,4,,34,0,0,34,
CT9,14,,,,,0,
CV1,15,,25,0,0,25,
CV10,23,,113,0,0,113,
CV13,10,,,,,0,
CV2,26,,,,,0,
CV21,13,,138,0,0,138,
CV22,24,,74,0,0,74,
CV23,12,,94,0,0,94,
CV3,26,,125,0,0,125,
CV31,14,,102,0,0,102,
CV32,13,,91,0,27,118,
CV34,15,,39,36,0,75,
CV35,14,,50,0,0,50,
CV36,5,,66,0,0,66,
CV37,21,,18,0,0,18,
CV4,12,,,,,0,
CV47,12,,126,0,0,126,
CV5,13,,115,0,0,115,
CV6,32,,49,0,0,49,
CV8,13,,60,0,0,60,
CV9,15,,45,0,0,45,
CW1,16,,325,55,15,395,
CW10,6,,188,0,0,188,
CW11,11,,151,0,0,151,
CW12,15,,119,53,5,177,
CW2,16,,222,39,54,315,
CW3,6,,26,0,0,26,
CW4,5,,59,0,0,59,
CW5,16,,274,0,0,274,
CW6,9,,35,0,1,36,
CW7,14,,0,6,0,6,
CW8,23,,89,0,0,89,
CW9,16,,28,26,0,54,
DA1,21,,60,0,0,60,
DA10,4,,,,,0,
DA11,17,,0,0,18,18,
DA12,20,,36,0,0,36,
DA13,7,,24,0,90,114,
DA14,9,,,,,0,
DA15,13,,,,,0,
DA16,14,,,,,0,
DA17,8,,,,,0,
DA18,4,,,,,0,
DA2,12,,51,0,0,51,
DA3,9,,0,0,18,18,
DA4,3,,,,,0,
DA5,5,,,,,0,
DA6,6,,,,,0,
DA7,9,,,,,0,
DA8,11,,,,,0,
DA9,2,,,,,0,
DE1,7,,,,,0,
DE11,22,,48,0,54,102,
DE12,14,,0,0,57,57,
DE13,22,,671,41,77,789,
DE14,11,,328,0,35,363,
DE15,13,,153,0,16,169,
DE21,23,,186,0,162,348,
DE22,21,,283,0,251,534,
DE23,28,,136,0,235,371,
DE24,25,,244,0,5,249,
DE3,10,,108,0,0,108,
DE4,28,,40,0,27,67,
DE45,9,,54,0,29,83,
DE5,11,,155,0,52,207,
DE55,34,,285,0,274,559,
DE56,19,,178,0,54,232,
DE6,23,,16,0,19,35,
DE65,14,,47,0,151,198,
DE7,26,,478,33,165,676,
DE72,10,,260,0,0,260,
DE73,10,,135,0,0,135,
DE74,6,,46,0,0,46,
DE75,10,,76,0,0,76,
DH1,26,,211,0,0,211,
DH2,9,,110,0,0,110,
DH3,13,,180,0,0,180,
DH4,11,,22,0,5,27,
DH6,14,,117,0,0,117,
DH7,24,,93,0,0,93,
DH9,21,,103,0,0,103,
DL1,17,,0,0,29,29,
DL10,11,,60,0,0,60,
DL11,4,,,,,0,
DL13,14,,115,0,0,115,
DL14,25,,68,0,0,68,
DL15,13,,34,0,0,34,
DL16,14,,15,0,0,15,
DL17,10,,19,0,0,19,
DL2,14,,43,0,99,142,
DL3,19,,0,8,159,167,
DL4,3,,26,0,0,26,
DL5,16,,,,,0,
DL6,8,,18,0,0,18,
DL7,13,,38,12,0,50,
DL8,17,,19,0,0,19,
DN1,4,,,,,0,
DN10,8,,99,0,12,111,
DN11,13,,58,0,12,70,
DN12,14,,,,,0,
DN14,27,,40,0,0,40,
DN15,16,,156,0,36,192,
DN16,17,,154,0,1,155,
DN17,20,,68,0,2,70,
DN18,6,,51,0,1,52,
DN2,9,,,,,0,
DN20,10,,96,0,2,98,
DN21,26,,15,0,56,71,
DN22,21,,105,0,24,129,
DN3,14,,,,,0,
DN31,3,,,,,0,
DN32,11,,54,0,0,54,
DN33,8,,73,0,0,73,
DN34,8,,10,0,0,10,
DN36,13,,103,0,0,103,
DN38,2,,,,,0,
DN4,21,,,,,0,
DN40,7,,30,0,0,30,
DN41,4,,44,0,0,44,
DN5,21,,,,,0,
DN6,14,,,,,0,
DN7,10,,,,,0,
DN8,6,,,,,0,
DN9,13,,112,0,2,114,
DT1,8,,6,0,0,6,
DT10,7,,,,,0,
DT11,21,,25,0,0,25,
DT2,15,,7,4,0,11,
DT3,9,,73,0,0,73,
DT4,12,,7,0,0,7,
DT5,2,,,,,0,
DT6,11,,,,,0,
DT8,5,,17,0,0,17,
DT9,16,,12,0,0,12,
DY10,14,,53,0,0,53,
DY11,14,,62,0,0,62,
DY12,6,,52,0,0,52,
DY13,9,,119,0,0,119,
DY14,6,,13,0,0,13,
DY2,12,,,,,0,
DY4,19,,37,0,0,37,
DY6,13,,21,0,0,21,
DY7,4,,,,,0,
DY8,19,,1,0,36,37,
DY9,11,,124,0,0,124,
E1,41,,,,,0,
E10,13,,,,,0,
E11,12,,,,,0,
E12,12,,,,,0,
E13,16,,,,,0,
E14,30,,,,,0,
E15,20,,,,,0,
E16,19,,,,,0,
E17,39,,,,,0,
E18,7,,,,,0,
E1W,4,,,,,0,
E2,26,,,,,0,
E20,2,,,,,0,
E3,21,,,,,0,
E4,21,,,,,0,
E5,22,,,,,0,
E6,23,,,,,0,
E7,21,,,,,0,
E8,12,,,,,0,
E9,15,,,,,0,
EC1M,2,,,,,0,
EC1N,1,,,,,0,
EC1R,3,,,,,0,
EC1V,4,,,,,0,
EC1Y,1,,,,,0,
EC2A,2,,,,,0,
EC2Y,1,,,,,0,
EC3A,1,,,,,0,
EC3N,1,,,,,0,
EC4M,1,,,,,0,
EC4V,1,,,,,0,
EN1,17,,,,,0,
EN10,4,,28,0,0,28,
EN2,9,,,,,0,
EN3,25,,,,,0,
EN4,14,,,,,0,
EN5,12,,,,,0,
EN6,18,,58,0,0,58,
EN7,9,,24,0,0,24,
EN8,16,,,,,0,
EN9,6,,132,24,0,156,
EX1,13,,124,0,0,124,
EX11,3,,85,0,0,85,
EX12,3,,41,0,0,41,
EX13,10,,22,0,0,22,
EX14,10,,105,0,7,112,
EX15,12,,132,0,0,132,
EX16,20,,85,24,0,109,
EX17,12,,101,0,0,101,
EX18,2,,,,,0,
EX2,21,,102,39,1,142,
EX20,13,,197,0,1,198,
EX21,6,,23,0,0,23,
EX22,8,,39,0,10,49,
EX23,9,,102,0,0,102,
EX31,15,,43,110,0,153,
EX32,16,,40,0,0,40,
EX33,5,,14,0,0,14,
EX34,7,,24,0,0,24,
EX36,6,,85,0,0,85,
EX37,4,,17,0,0,17,
EX38,4,,30,6,0,36,
EX39,16,,159,0,2,161,
EX4,18,,131,26,100,257,
EX5,15,,133,0,3,136,
EX6,11,,63,0,0,63,
EX8,12,,84,0,0,84,
EX9,4,,42,0,0,42,
FY1,6,,59,0,0,59,
FY2,8,,21,0,32,53,
FY3,13,,106,0,70,176,
FY4,16,,126,0,78,204,
FY5,13,,88,0,0,88,
FY6,16,,82,0,0,82,
FY7,10,,,,,0,
GL1,17,,67,0,0,67,
GL10,11,,42,0,0,42,
GL11,10,,66,0,0,66,
GL12,9,,61,0,0,61,
GL13,5,,12,0,0,12,
GL14,8,,39,0,0,39,
GL15,13,,69,0,0,69,
GL16,9,,25,0,0,25,
GL17,7,,34,0,0,34,
GL18,5,,26,0,0,26,
GL19,10,,39,0,0,39,
GL2,26,,286,31,0,317,
GL20,19,,55,0,0,55,
GL3,16,,24,18,0,42,
GL4,21,,176,0,0,176,
GL5,19,,60,0,0,60,
GL50,7,,,,,0,
GL51,22,,111,0,0,111,
GL52,17,,123,6,0,129,
GL53,9,,146,28,0,174,
GL54,16,,109,0,0,109,
GL55,4,,15,0,0,15,
GL56,4,,41,0,0,41,
GL6,18,,99,0,0,99,
GL7,27,,168,0,0,168,
GL8,5,,27,0,0,27,
GL9,2,,9,0,0,9,
GU1,16,,71,0,0,71,
GU10,12,,32,0,0,32,
GU11,10,,81,0,0,81,
GU12,7,,133,0,0,133,
GU14,28,,57,0,0,57,
GU16,10,,42,0,0,42,
GU19,3,,,,,0,
GU2,12,,70,0,0,70,
GU20,2,,,,,0,
GU21,19,,60,0,0,60,
GU22,13,,60,0,0,60,
GU23,2,,,,,0,
GU24,10,,79,0,0,79,
GU26,6,,20,0,0,20,
GU27,9,,52,0,0,52,
GU28,5,,9,0,0,9,
GU29,5,,40,0,0,40,
GU3,4,,,,,0,
GU30,5,,90,0,0,90,
GU31,6,,17,0,0,17,
GU32,9,,29,0,0,29,
GU33,5,,92,0,0,92,
GU34,19,,113,0,0,113,
GU35,8,,29,0,0,29,
GU46,8,,155,0,0,155,
GU47,7,,6,0,0,6,
GU51,4,,,,,0,
GU6,9,,49,0,0,49,
GU7,15,,123,0,0,123,
GU8,11,,12,0,0,12,
HA0,10,,,,,0,
HA1,14,,,,,0,
HA2,16,,,,,0,
HA3,26,,,,,0,
HA4,18,,,,,0,
HA5,16,,,,,0,
HA7,8,,,,,0,
HA8,24,,,,,0,
HA9,17,,,,,0,
HD1,7,,112,0,71,183,
HD2,9,,88,8,87,183,
HD3,8,,183,0,0,183,
HD4,14,,274,45,32,351,
HD5,12,,296,10,0,306,
HD7,13,,146,0,36,182,
HD8,19,,381,24,158,563,
HD9,17,,232,67,54,353,
